13578867
/m/03c9zcp
/m/03c9zcp
Clarence Adams


130s 1
140s 1
166 1
21 1
a 2
activities 1
adams 4
after 1
americans 1
and 7
as 4
being 1
book 2
both 1
by 1
children 1
china 2
chinese 1
cites 1
civil 1
cold 1
curiosity 1
deals 1
defecting 1
despite 1
do 1
during 2
favor 1
fbi 1
following 1
follows 1
for 1
going 1
heavily 1
his 7
in 7
into 1
investigations 1
it 1
korean 2
lack 1
main 1
maintained 1
memphis 2
movement 1
of 6
one 1
opportunity 1
pow 2
questioning 1
race 1
racism 1
reasons 1
red 1
refused 1
relations 1
repatriation 1
return 2
right 1
rights 1
scare 1
so 1
south 1
states 1
tennessee 1
the 12
through 1
throughout 1
time 1
to 5
united 1
us 1
war 3
was 1
well 1
who 1
wife 1
with 2
youth 2
