18133305
/m/04cqtdr
/m/04cqtdr
Åsne Seierstad
2008-03-06
{"/m/05h83": "Non-fiction"}
a 1
accessible 1
account 2
also 1
an 3
and 4
angel 2
as 2
at 1
attempts 1
book 2
books 1
both 1
chechen 4
chechnya 1
children 1
civilians 1
combatants 1
complicated 1
conflict 1
corruption 1
describing 1
encounters 1
exposure 1
features 1
for 1
forces 1
gatayeva 1
give 1
grozny 2
hadijat 1
has 1
her 2
historical 1
home 1
impartial 1
in 2
into 1
is 2
kadyrov 1
key 1
meeting 1
mindset 1
of 10
on 1
one 1
orphanage 1
people 1
play 1
political 1
president 1
process 1
ramzan 1
reconstructing 1
russian 1
sides 1
street 1
the 11
their 1
themes 1
title 1
to 2
trying 1
turned 1
understand 1
war 1
well 1
whilst 1
who 1
with 2
woman 1
