4954388
/m/0cwxcg
/m/0cwxcg
Darren Shan
2002
{"/m/03mfnf": "Young adult literature", "/m/0dwly": "Children's literature", "/m/03npn": "Horror", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
a 7
above 1
accomplices 1
achieved 1
alivea 1
an 1
and 15
any 1
are 1
arra 2
attempting 1
avoiding 1
away 1
back 2
badly 1
barely 1
battered 1
battle 1
be 3
become 1
before 2
blane 1
blood 1
bodies 1
book 1
bruised 1
bumped 1
but 3
by 4
can 1
carries 1
carry 1
clan 1
cold 1
collapses 1
control 1
cremation 1
crepsley 1
crown 1
darren 5
dead 1
death 2
decide 1
demand 1
dies 1
down 2
during 2
earlier 1
emerging 1
encounter 1
energy 1
even 1
executed 1
execution 2
exhausted 1
explains 1
eye 1
falling 1
feat 1
fellow 1
fight 1
find 1
fleeing 1
for 2
force 1
former 1
found 1
friend 1
friends 1
from 3
gain 1
give 1
goes 1
had 1
hall 1
has 1
hate 1
he 10
help 2
hiding 1
him 5
his 9
hold 1
however 2
hurt 1
impalement 1
in 4
includes 1
inform 1
inside 1
intentions 1
into 1
is 4
it 2
join 1
judgment 1
kills 1
knew 1
kurda 6
laws 1
leaders 1
locate 1
longer 1
loses 1
loss 1
luck 1
lust 1
made 1
make 2
manner 1
mate 1
may 1
more 1
most 1
mountain 4
mr 1
murder 1
murdered 1
must 3
naked 1
nick 1
nile 1
no 1
nobody 1
not 1
of 11
on 1
once 1
other 1
own 1
paradise 1
plans 1
possible 1
powerful 1
preparing 1
prince 3
princes 5
punishment 1
pure 1
putting 1
reach 1
reveals 1
right 1
river 3
roaring 1
rudi 1
safely 1
sails 2
savagely 1
seba 1
see 1
selfish 1
shameful 1
shan 1
sickened 1
single 1
smahlt 1
so 2
soon 1
spare 1
stakes 1
stone 2
streak 1
supposed 1
terrible 1
that 5
the 28
thereby 1
these 1
they 3
this 1
though 1
through 1
time 1
to 13
touched 1
traditions 1
traitor 1
treachery 1
treason 1
trial 1
trials 1
true 1
two 2
used 2
vampaneze 5
vampire 5
vampires 4
vanez 1
walking 1
wanting 1
was 3
washed 1
wasnt 1
way 3
were 1
when 1
which 3
while 1
who 1
with 3
wolf 1
wolves 2
would 1
wounded 1
