4713613
/m/0cjp_6
/m/0cjp_6
Ernest Gaines
1983
5 1
a 4
afternoon 1
against 1
all 1
also 1
an 1
and 3
arrest 1
arrives 1
as 1
be 1
beau 2
been 1
black 3
blacks 1
boutan 2
boutans 1
by 1
cajun 1
candy 1
claim 1
come 1
coming 1
discovers 1
each 1
effort 1
empty 1
enlists 1
farmer 1
father 1
fix 1
for 1
from 1
guilty 1
has 1
having 1
he 1
help 1
in 2
keep 1
likely 1
lynch 1
man 2
mapes 1
mathu 3
meanwhile 1
men 2
murder 1
murderermost 1
number 1
of 1
old 1
one 2
only 1
other 1
party 1
protect 1
racism 1
real 1
responsible 1
scene 1
seventeen 1
she 2
shell 1
sheriff 1
sherriff 1
shot 1
shotgun 1
stood 1
that 1
the 11
them 1
to 7
up 1
was 1
white 1
who 1
wishes 1
with 1
woman 1
yard 2
