16185993
/m/03wc8h_
/m/03wc8h_
Chris Wooding
2006
{"/m/06n90": "Science Fiction", "/m/0dwly": "Children's literature", "/m/08sdrw": "Adventure novel", "/m/0mz2": "Alternate history", "/m/014dfn": "Speculative fiction", "/m/03mfnf": "Young adult literature", "/m/02xlf": "Fiction"}
a 9
about 1
after 1
also 1
an 1
and 9
anyajacana 2
are 2
arrive 1
artifact 4
as 2
back 1
be 1
beaten 1
behind 2
book 1
box 1
boys 1
building 1
but 1
by 2
called 1
can 1
chooses 1
clouds 1
crashes 1
creature 1
creatures 1
day 1
debates 1
depart 1
different 1
discover 2
doors 1
dying 1
enough 1
enters 1
escape 2
escaped 1
exhaustion 1
fade 1
fadescience 1
fall 1
falls 1
favourite 1
finch 1
find 1
finds 1
finger 1
flying 1
for 1
found 1
from 3
gang 1
get 1
getting 1
ghetto 1
give 1
golem 1
golemlike 1
group 1
had 1
he 1
her 3
hideous 1
his 1
in 2
is 2
it 2
just 2
known 1
large 1
later 1
leave 1
led 1
living 1
manage 1
manages 1
master 1
meet 1
mission 1
mistress 1
moa 4
mozgas 2
named 1
not 1
obese 1
objects 1
of 5
off 1
on 2
open 1
opens 1
orokos 1
other 1
out 1
own 1
place 1
proceed 1
protagonists 1
pulls 1
puts 1
rail 6
report 1
scene 1
science 1
seabird 1
sends 1
sent 1
she 1
side 1
sky 1
small 3
sneak 1
society 1
solid 1
soon 1
sorts 1
steal 1
strange 1
that 2
the 17
their 2
them 2
then 2
they 6
thief 1
though 1
three 1
through 5
to 9
trapped 1
treasure 1
truth 1
two 1
unjust 1
vago 1
wall 1
where 1
whether 1
window 1
with 3
within 1
