12887342
/m/02x9vt1
/m/02x9vt1
William Nicholson
2006-09-04
{"/m/01hmnh": "Fantasy"}
a 12
able 1
across 1
act 1
advice 1
after 2
afterwards 1
all 2
alliance 1
along 2
already 2
although 1
amroth 1
an 4
anacrea 2
and 28
angry 1
another 1
any 1
are 3
army 2
arrange 1
arrive 1
arrives 1
as 4
asks 1
assigned 1
at 4
attacked 1
attain 1
back 3
bad 1
battle 1
be 5
beautiful 1
been 1
before 2
begins 2
being 2
believes 1
between 2
black 1
blow 1
bomb 2
book 2
breaking 1
breaks 1
broken 1
burn 1
but 4
by 9
called 1
can 3
captured 1
carries 1
causing 1
cell 1
chance 2
charged 4
child 1
cites 1
citing 1
city 1
cleanse 1
cleansed 1
cloud 3
continues 1
control 1
council 2
crazy 1
cryptic 1
dead 1
decide 1
decided 1
decides 1
decision 1
defeat 1
defeats 1
defend 1
described 1
destroy 1
destroyed 1
destruction 1
dies 1
disbelieving 1
discovered 1
do 2
doesnt 2
doing 1
door 4
down 3
drives 1
earthquake 1
echo 3
elder 1
end 1
ended 1
enter 1
enters 3
escaped 1
events 1
everyone 1
exact 1
experiment 1
explosion 1
explosive 1
famous 1
fast 1
feel 1
feels 1
fight 1
fights 1
figure 1
first 1
five 1
for 3
forcing 1
forest 1
forgiveness 1
form 1
free 1
from 3
garden 2
get 1
gets 1
gives 1
glimmen 5
go 3
ground 1
had 1
half 1
hands 1
happening 1
has 6
he 22
heads 2
help 2
her 2
him 4
himself 1
his 7
how 2
huge 1
if 1
in 13
instant 1
intends 2
into 2
is 18
it 3
jahan 5
jango 7
kill 1
kills 1
kittle 3
kneel 1
kneels 1
know 1
knowing 2
land 3
launched 1
leader 1
learn 1
led 1
left 1
limits 1
lir 2
little 1
live 1
lives 1
living 1
loose 1
lost 1
man 1
manages 1
many 2
marriage 1
meets 1
mentions 1
might 1
miriander 1
more 2
morning 1
much 1
must 1
narrow 2
near 1
neither 1
new 1
next 1
noble 2
nom 6
noma 1
noman 2
nomana 2
noms 1
not 2
of 17
off 1
old 1
on 6
once 1
one 3
only 1
open 1
opposite 1
or 1
orlan 1
orlans 4
other 2
out 3
over 2
pale 1
path 2
personal 1
place 1
pleads 1
power 4
pretending 1
pride 1
purpose 1
puts 1
quote 1
radiance 4
ready 1
realizes 1
refuses 2
replica 1
revenge 1
runs 2
savanters 3
save 1
says 1
search 1
secret 2
see 1
seeker 18
seems 1
series 1
sets 1
seven 1
shadow 1
share 1
she 4
should 1
side 1
similin 3
sitting 1
skill 2
slender 1
so 5
something 1
sons 1
soon 1
soren 2
standing 1
star 1
stay 1
stopped 2
strange 2
such 1
suck 1
takes 1
taking 1
taught 1
teacher 2
tells 2
than 1
that 10
the 59
their 2
them 6
then 1
there 3
they 4
thing 1
this 5
thoughts 1
threat 1
threatens 1
through 2
time 1
to 26
told 4
training 3
trees 1
true 1
unlike 1
until 2
up 3
use 1
used 1
using 1
victory 1
wall 1
warrior 1
warriors 1
was 1
water 4
way 3
weary 1
what 1
when 2
which 3
while 1
who 6
whom 1
wildman 1
will 3
wishes 1
with 7
without 1
world 1
wrong 1
yet 1
