3516545
/m/09hvxh
/m/09hvxh
Pierre Christin
1981
a 17
abandoned 1
about 1
access 1
accompanied 1
acquaintance 1
acts 1
agent 1
agents 1
agree 2
airport 2
albert 12
alchemists 1
alien 2
aliens 1
all 3
alluring 1
also 3
amongst 1
an 8
analyzing 1
and 30
another 1
apparition 1
approach 1
approached 1
are 3
around 1
as 3
assistance 1
assistant 1
associates 1
asteroids 2
astrologers 1
at 7
authorities 1
be 3
beard 1
beaubourg 2
become 2
been 6
before 1
begin 1
being 1
believing 1
bellson 9
belt 2
bidder 1
bids 1
bird 4
blonde 1
blue 2
bombarded 1
both 1
breakfast 1
brings 1
brooklyn 3
but 3
by 7
call 1
called 1
can 1
cant 1
car 5
carrying 1
cassiopeia 1
cause 1
centre 2
certain 1
chtelet 1
claiming 2
cofounder 1
companies 1
company 2
computer 1
concerned 1
confusion 1
conjunction 1
conspired 1
consumed 1
contact 2
contacted 1
contacting 1
continue 1
convinces 1
costume 1
cousin 1
criminal 1
crocbattler 2
cynthia 7
dashes 1
days 1
dazed 1
deceived 1
decides 1
demonstration 2
demonstrations 1
destroys 2
determines 1
direction 1
disappear 1
disappearance 1
disciplines 1
discussing 1
disguises 1
disintegrator 2
disoriented 1
drawing 1
dressed 1
drives 1
dropped 1
duel 1
during 1
each 2
earth 2
eavesdropping 1
elemental 1
elements 8
elsinn 2
embarrassed 1
emerged 1
emerges 1
employed 1
end 2
energy 1
engage 1
enjoying 1
enveloped 1
except 1
exchange 1
excuse 1
excuses 1
expert 1
experts 1
explains 4
face 1
false 1
farewell 1
feeling 1
fight 2
figures 1
final 1
find 2
finds 1
fire 3
fled 1
flight 1
follow 1
for 6
force 1
forces 1
fortress 1
found 2
founder 1
four 6
friedlander 1
friend 1
from 6
front 1
future 1
gain 1
galaxity 2
gambler 4
gang 1
gets 1
god 1
gods 3
greatest 1
greeted 1
grows 1
gun 1
gurus 1
had 7
happened 1
has 6
have 3
having 1
havoc 1
he 8
head 1
helpless 1
her 4
herself 1
hideout 1
hiding 1
highest 1
him 3
himself 4
his 7
home 2
homeless 1
hotel 3
hypsis 1
in 18
including 2
indiscretion 1
into 2
introduces 1
is 9
it 3
jeremiah 2
joint 1
kabbalah 1
killing 1
known 1
landed 1
last 1
late 1
laureline 12
learns 1
leave 1
leaves 1
liberty 1
link 2
locate 1
look 2
lover 1
lust 1
magnificent 2
makes 2
managed 1
manifest 1
manifestation 2
manifestations 1
manipulated 1
manufactured 1
many 2
meanwhile 1
medicine 1
meet 1
meeting 2
meets 1
melsheim 1
men 1
message 1
met 1
moment 1
money 1
more 1
morning 1
mtro 1
myriad 1
mysterious 1
mystical 1
near 1
new 2
next 3
nonstop 1
not 1
now 1
observe 1
observed 1
observers 2
of 23
off 1
offer 1
old 3
on 12
one 4
opens 1
organised 1
other 1
out 2
parapsychologists 1
paris 1
park 1
passed 1
pirates 1
planet 1
plaza 2
pompidou 2
possibly 1
present 1
presented 1
pretending 1
previously 1
prize 1
promising 1
pull 1
quickly 1
rackalust 2
raid 1
realised 1
received 1
receives 1
regain 1
rejoins 1
relay 2
representatives 4
resorted 1
return 1
returning 1
rifle 2
room 1
roused 1
rubanis 1
sales 1
same 1
sanctuary 2
sarah 2
schlomo 7
see 2
seeking 1
seemed 1
sell 1
separation 1
she 7
shooting 1
similar 1
since 1
situation 1
snatches 1
some 2
something 1
somewhat 1
space 1
spacecraft 2
spacetime 1
spatiotemporal 1
spots 1
squabbling 1
station 1
statue 1
stay 1
steal 1
still 1
stole 1
stolen 1
strikes 1
successful 1
such 1
suddenly 2
surprises 1
suspect 1
table 1
taking 1
taxi 1
technologies 1
telepathic 1
telephones 1
tells 2
tends 1
that 12
the 75
their 5
them 7
themselves 2
then 1
there 3
they 10
though 1
throughout 1
time 1
to 30
tongue 1
too 1
took 3
tries 1
trying 1
turned 1
two 4
ufologists 1
unable 1
underground 1
unknown 1
unwell 1
up 4
used 1
uses 1
using 1
valrian 19
venture 1
via 2
visions 2
waam 6
wakes 1
was 1
wasteground 1
were 2
westerby 1
what 2
when 3
where 5
while 2
who 3
whom 1
wife 1
will 1
with 15
woman 5
worlds 1
worshiped 1
wreak 1
york 1
zohar 1
zoms 4
zomuk 2
