23180419
/m/064pf4s
/m/064pf4s
Deborah Tannen
1990

a 7
about 4
accommodating 1
accordingly 1
accurate 1
adjust 1
all 1
an 1
and 11
angry 1
another 1
are 5
as 3
assume 1
at 2
attendant 1
averted 1
be 3
because 3
becomes 1
been 1
begin 1
believes 1
between 1
both 4
broken 1
by 3
can 1
chapter 1
chapters 1
childhood 1
complaining 1
conflict 2
connecting 1
connection 1
connections 1
conversation 2
conversations 3
conversely 1
could 1
create 2
crosspurposes 1
derided 1
devotes 1
discord 1
distinguishing 1
doing 1
dominate 2
each 2
effects 2
empathy 1
entire 1
establish 1
even 1
example 1
exploring 1
far 1
female 2
finish 1
for 1
frequently 1
friends 1
from 2
functions 1
further 1
gender 1
genders 2
gossip 1
group 1
hand 1
have 2
he 1
her 1
husband 1
if 1
in 6
inclined 1
independence 1
instance 1
interlocutor 1
interrupt 1
interrupted 1
intimacy 1
into 1
involving 1
is 1
it 1
its 1
keep 1
know 1
language 2
larger 1
latter 1
leads 1
less 1
likely 2
lingering 1
listen 1
listener 1
live 1
may 2
mean 1
medical 1
men 7
merely 1
metamessages 1
mind 1
miss 1
misunderstandingsfor 1
more 5
much 1
not 1
of 6
often 2
on 1
or 1
other 5
own 1
pages 1
paradoxical 1
parties 1
patterns 2
perceive 1
personally 1
private 1
procedure 1
public 3
relationships 1
respectively 1
same 1
sections 1
seek 1
seeking 1
sentences 1
settings 1
short 1
show 1
since 2
so 1
social 1
socialized 1
solution 1
speak 1
speaker 2
start 1
status 1
studies 1
styles 1
subject 1
suggests 1
surgery 1
take 1
talkative 1
tannen 3
terms 1
than 1
that 1
the 10
their 1
them 1
themselves 1
these 2
they 5
this 2
three 1
titled 1
to 11
topics 1
two 1
understand 1
up 1
use 3
way 1
we 2
what 1
when 2
where 1
which 1
while 2
who 1
with 1
within 1
woman 1
women 7
world 1
would 1
