8543441
/m/02778jm
/m/02778jm
Tracy Hickman
1990
a 19
abandoned 1
able 1
accompany 1
actually 1
adequate 1
aleatha 2
all 4
almost 1
although 2
always 2
among 1
amulet 1
an 6
and 23
answer 2
apart 1
apparently 2
appear 1
are 4
arriving 1
as 3
ask 1
at 3
attacked 1
attempt 1
away 1
be 2
became 1
been 1
behind 1
belief 1
best 1
bizarre 1
bond 1
bother 1
brought 1
burning 1
but 3
buyer 2
by 4
calandra 2
cannot 1
carrying 1
celebrates 1
central 1
chases 1
child 1
chooses 1
citadel 1
citadelmdash 1
city 1
companion 1
conditions 2
containing 1
convoy 1
course 1
cover 1
crude 1
data 1
daughter 1
daytime 1
deal 2
death 1
defeat 1
defend 1
defensive 1
destroy 1
deteriorated 1
devoted 1
disappeared 1
discovers 1
distinct 1
does 1
doesnt 1
dog 1
dont 2
dorothy 1
dragon 2
dragons 1
dragonship 1
drugar 4
during 2
dwarven 2
dyson 1
each 2
eldest 1
elven 1
elves 1
empty 1
enters 1
especially 1
evacuation 1
even 2
everything 1
expert 1
extremely 2
eyes 1
fact 1
failure 1
falling 1
falls 1
father 1
fellow 1
fend 1
finally 1
finds 1
fire 1
flashbacks 1
for 6
found 1
four 2
from 1
gale 1
gate 1
gates 1
giant 2
glowing 1
gotten 1
great 1
ground 4
had 1
hale 1
halfsiblings 1
handle 1
haplo 6
has 6
hasnt 1
have 2
havent 1
he 9
hearty 1
her 2
here 1
heretical 1
him 5
himself 3
his 10
home 1
household 3
however 3
huge 1
human 2
humanoids 1
humans 1
idea 1
identical 1
if 2
in 12
incensed 1
inscribed 1
instead 1
interracial 1
into 1
is 18
it 5
james 1
just 1
know 1
labyrinth 1
late 1
lazy 1
least 1
leaves 3
lenthan 3
light 1
like 2
little 1
lives 1
longbearded 1
longer 1
lot 1
love 1
lovely 1
lovers 1
lumbering 1
magical 2
makes 1
manner 1
married 1
means 1
meanwhile 1
member 1
mensch 3
merchant 1
met 1
might 1
milehigh 1
mission 1
moment 1
moss 1
most 1
mostly 1
motive 1
mountain 1
much 1
named 1
native 1
nature 1
nearly 1
newest 1
next 2
nexus 1
night 1
no 3
normal 1
not 3
now 2
obsessed 1
of 16
on 3
one 3
only 1
open 1
or 2
orbit 1
other 2
others 1
out 3
pair 1
paithan 6
people 2
period 1
person 1
pinpoints 1
prejudice 1
pretend 1
proves 1
pryan 3
questionmdash 1
quindiniar 3
quindiniars 1
rather 1
real 2
redleaf 1
redleafs 2
rega 3
reining 1
relationship 1
remain 1
remaining 1
rescued 1
resist 1
rocketry 2
roland 2
romance 2
runemagic 2
runes 1
sacrifices 1
safemdash 1
sartan 2
save 1
seduce 1
seems 2
seen 1
sell 1
senile 1
sent 1
separated 1
set 1
sets 1
shallow 1
she 3
show 1
sight 1
similar 1
since 2
single 1
sister 1
sky 2
smugglers 1
so 1
some 2
spends 1
sphere 2
spinster 1
sporadically 1
star 1
stars 3
stay 1
stone 1
story 1
stronghold 1
struggle 1
stubbornly 1
succeed 1
suggestions 1
sunmdash 1
suns 1
supposed 1
sure 1
surprise 1
suspected 1
swindle 1
tainted 1
tells 1
tensions 1
thanks 1
that 5
the 46
their 2
them 1
themselves 2
then 1
there 4
these 1
they 9
think 1
this 1
tightfisted 1
time 4
to 21
together 1
toto 1
travel 1
travelled 1
travels 1
trees 1
trip 1
two 1
tytans 4
ulterior 1
under 1
up 2
useful 1
utterly 1
vain 1
was 1
weapons 3
when 3
where 3
which 1
while 1
white 1
who 2
wife 1
winking 1
wiped 1
with 8
woman 2
world 1
worlds 1
years 1
yet 1
young 1
younger 1
zifnab 4
