5300664
/m/0ddcwc
/m/0ddcwc
Norma Klein
1985
a 4
abruptly 1
acceptance 1
acting 1
actions 1
addition 1
affair 1
aline 2
alines 1
also 1
although 1
an 1
and 14
angry 1
announced 1
apart 1
apartment 1
are 4
argue 1
arrangements 1
as 2
at 3
awkwardness 1
because 2
become 1
before 3
begins 1
by 2
car 1
causes 1
chicago 1
childhood 1
close 1
college 2
colleges 1
comfortable 1
complicated 1
complications 1
continues 1
contributing 1
country 1
couple 1
cross 1
deal 1
dealing 1
decides 1
degree 1
diarythat 1
disarray 1
discoveryby 1
divorce 2
divorces 2
drama 1
during 1
early 1
emotional 1
end 1
ends 1
factor 1
fall 1
family 1
father 3
few 1
finish 1
for 5
forces 1
friends 1
from 1
go 1
going 1
harvard 1
have 1
having 2
her 7
high 3
his 4
home 1
immediately 1
impending 1
imposed 1
in 7
intimacy 1
into 1
is 7
it 1
kept 1
legally 1
leslie 5
leslies 1
live 1
lives 3
living 1
longer 1
lovers 1
makes 1
marriage 2
months 1
more 1
mother 3
mothers 1
move 3
moves 1
much 1
neediness 1
nelson 2
nelsons 1
new 4
next 1
no 1
novel 1
of 6
off 1
on 2
over 1
pair 1
parents 4
peter 5
peters 2
physical 1
planning 1
plans 1
play 1
primarily 1
quick 2
reading 1
reconcile 1
rehearsal 1
related 1
relationship 2
remarriage 1
renew 1
resume 1
romance 1
school 4
secret 1
sell 1
senior 2
separate 1
she 2
situation 1
spends 2
start 1
stepdaughter 1
stepmother 1
stepsiblings 1
stepsistergirlfriend 1
striving 1
struggle 1
summer 3
that 1
the 21
their 11
them 1
they 3
this 1
thrown 1
time 1
to 12
trip 1
two 1
upset 1
while 1
who 1
wife 1
with 8
without 1
womanizing 1
year 3
