3124623
/m/08t04q
/m/08t04q
Matthew Reilly
2005-10
{"/m/01jfsb": "Thriller"}
1000 1
2 1
2006 1
3 1
40004500 1
4500 1
a 9
absorbed 1
accompanying 1
across 1
after 1
again 3
ago 1
aid 1
alexander 6
alliance 2
also 1
american 1
americans 1
an 3
and 25
another 1
apprehended 1
arab 1
are 4
around 1
arrive 1
at 1
attempting 1
australia 2
authority 1
babylon 1
basilica 1
battle 1
bay 1
before 2
being 1
beneath 1
boobytrapped 1
boobytraps 1
brainwashed 1
bring 1
but 4
by 6
cairo 1
called 1
can 2
canada 1
capstone 7
capture 2
carries 1
carry 1
catastrophic 1
catholic 1
central 1
chamber 2
child 1
church 1
cief 5
coalition 1
coast 1
colossus 1
commanderinchief 1
contingent 1
covertly 1
crawls 2
day 1
days 1
dead 1
death 3
del 1
devastated 1
divided 2
dominion 1
due 1
during 1
each 2
earth 1
emirates 1
energy 1
ensure 1
ensured 1
ensuring 1
epilogue 1
epper 1
escape 3
escorts 1
europe 1
european 2
event 1
every 1
execute 1
extremis 1
failure 1
finds 2
five 1
flooding 1
for 3
force 2
forced 1
foremost 1
freemasons 1
from 6
gain 2
gains 1
gardens 1
giza 2
goes 1
going 1
great 3
group 1
guantanamo 1
hamilcar 1
hanging 1
has 3
hatshepsut 1
he 1
head 1
her 1
hidden 1
hiding 1
hieroglyphics 1
himself 1
his 2
hostages 1
however 2
if 1
in 10
into 1
iraq 1
ireland 1
is 8
israel 1
israeli 1
israelis 2
it 2
its 1
jack 3
jamaica 1
jr 1
judah 1
kidnap 1
known 1
last 1
later 3
lead 1
leads 1
led 1
lily 4
location 1
lone 1
lose 3
major 1
mall 1
manage 1
measurements 1
minnows 2
monstrous 1
more 2
mortuary 1
mustapha 1
nation 1
nations 1
new 1
nobler 1
obelisk 1
occurs 1
of 20
on 4
one 3
only 1
or 1
other 3
out 3
own 1
paris 1
peace 1
people 1
person 1
peter 2
piece 6
pieces 4
piero 1
place 2
placing 1
plane 1
possess 1
possesses 1
power 2
presumed 1
pyramid 3
reach 1
read 1
reasons 1
refuge 1
released 1
replaced 1
representing 2
return 1
reunite 2
reunited 1
reuniting 1
rhodes 1
ritual 2
rotation 2
save 1
saved 1
separating 1
seven 3
solar 1
spain 1
special 1
spring 1
st 2
still 1
stop 1
strike 1
successfully 1
summit 1
sunspot 2
survived 1
survivors 1
system 1
taken 1
takes 1
taking 1
tartarus 1
team 10
teams 1
terrorist 1
than 1
that 2
the 66
their 3
them 5
then 5
there 2
they 4
third 1
this 3
thoth 1
three 1
through 1
to 19
tomb 1
trap 1
tries 1
trying 2
tunisia 1
twin 1
twist 1
two 3
united 1
unlike 1
unwittingly 1
up 1
upon 1
used 1
vatican 1
was 1
weather 1
weeks 1
west 8
when 1
which 1
who 4
whole 1
willingly 2
wins 1
with 5
within 1
wizard 1
wonders 2
word 1
works 1
world 3
years 3
zaeed 2
zealand 1
zoe 1
