4114492
/m/0bjv_s
/m/0bjv_s
Jon Scieszka
1992
{"/m/016475": "Picture book", "/m/0dwly": "Children's literature"}
a 21
about 3
afraid 1
again 1
allowed 1
also 3
an 4
and 27
andersen 1
anniversary 1
annoying 1
anyone 1
are 4
as 3
ask 1
asking 2
at 2
away 2
back 2
ball 2
be 3
beanstalk 2
bears 1
because 3
been 1
being 2
believes 1
blurting 1
bones 2
book 13
bowling 2
boy 1
bread 6
but 1
buying 1
by 1
cabbage 1
cameo 1
can 2
cast 1
cheese 1
chicken 1
christian 1
cinderella 3
cinderumpelstiltskin 1
cinderumplestiltskin 2
climbs 1
clippings 1
combines 1
comes 3
complain 2
complaining 2
contents 2
counterpart 2
cow 1
cried 1
crooked 1
dangerous 1
dank 1
deals 1
determined 1
doesnt 2
dont 1
down 1
duck 1
duckling 4
dust 1
eat 2
edition 2
end 3
ending 2
ends 2
entire 1
example 1
excruciatingly 1
extremely 1
fairly 2
fairy 1
falling 1
faster 1
feel 1
finally 1
finds 1
first 1
flees 1
for 3
foreword 1
frog 5
from 2
general 1
get 1
giant 7
gingerbread 1
girl 1
gold 1
goldilocks 1
got 1
grind 2
gripe 1
griping 1
grow 1
grows 1
guess 1
guy 1
had 1
hair 3
hans 1
hare 2
has 2
have 3
he 8
head 2
health 1
help 2
helping 1
hen 5
her 14
him 2
his 10
hood 1
hops 1
horrid 1
hundred 1
i 1
ignores 1
ill 1
imp 1
improvisation 1
in 15
includes 2
including 1
into 2
introduce 1
introduces 1
is 8
isbn 1
it 5
jack 8
jacket 1
jeers 1
just 1
kidding 1
kisses 1
lake 1
last 1
latter 1
letters 1
licken 1
like 1
little 7
loaf 1
long 1
lots 1
loves 1
lulls 1
make 5
man 2
mattresses 2
middle 1
my 1
name 2
near 1
never 2
no 3
nonsensical 1
not 3
now 1
nowhere 1
of 28
offer 1
offers 1
on 4
one 5
only 1
or 1
order 1
original 1
other 4
out 4
over 1
own 1
pages 2
parents 2
parody 2
parts 1
patty 1
pea 2
picture 1
pops 1
potential 1
prince 4
princess 3
printed 1
probably 1
pun 1
puns 1
quits 1
race 3
random 1
rather 1
really 5
red 7
refuses 1
rejecting 1
rejects 1
rest 1
retelling 1
riding 1
right 1
rumplestiltskin 1
run 1
running 2
same 1
sandwich 1
saying 2
says 3
sentences 1
she 7
shoos 1
shorts 2
sick 1
sky 1
sleep 1
slips 1
smell 2
sneak 1
so 2
spin 1
star 1
starts 1
sticky 1
still 2
stinky 1
stories 1
story 13
strangers 1
straw 1
stupid 2
successfully 1
such 1
surgeon 1
swan 1
table 2
tale 3
tales 1
talk 1
talks 1
telling 1
tells 3
tenth 1
than 2
that 7
the 79
then 1
there 3
these 1
they 4
thinks 1
this 5
though 1
three 2
title 2
to 20
tongue 1
top 1
tortoise 4
trying 1
tumbling 1
ugly 5
under 2
until 1
up 2
uppercase 1
upsidedown 1
uses 1
using 1
very 2
wakes 1
walks 1
wants 1
warning 1
was 2
when 7
where 2
whereas 1
while 1
who 5
will 2
with 1
wives 1
words 1
your 2
