5500227
/m/0dpn1f
/m/0dpn1f
Peter O'Donnell

11 1
a 9
abandoned 1
against 2
ago 1
aid 1
algeria 1
an 2
and 18
apelike 1
are 2
attacked 1
back 1
barely 1
barroom 1
be 1
beach 1
beaten 1
becomes 1
been 1
blaise 1
blind 1
book 1
both 1
brutally 1
build 1
but 1
by 2
can 1
canadian 1
catandmouse 1
comes 1
crossed 1
dead 1
deadly 1
death 1
defeat 1
delicata 5
determining 1
dinah 6
duel 1
encounters 1
england 1
ensues 1
entire 1
ever 1
fact 1
fencing 1
fight 2
final 1
first 1
for 2
foreign 1
formidable 1
fort 1
fortunately 1
friend 1
from 3
gabriel 3
game 1
garvin 1
gerald 1
go 2
gunmen 2
has 1
having 2
he 2
her 1
hiding 1
him 1
huge 1
in 6
incapacitated 1
incidentally 1
injured 1
intervenes 1
into 1
is 6
it 1
jacket 1
judy 2
kidnapped 1
killed 1
killer 1
killing 1
knowing 1
knows 1
legion 1
literally 1
lonely 1
long 1
man 1
manape 1
master 1
match 1
mesh 1
mobilize 1
modesty 7
most 1
nearby 1
nearfatally 1
not 1
obvious 1
occurs 1
of 2
on 1
oneonone 1
opponents 1
pair 1
panama 1
panamanian 1
pilgrim 1
possibly 1
prisoner 1
protective 1
rescue 1
sahara 1
search 1
senseless 1
serious 1
set 1
should 1
simon 4
since 1
sir 1
sister 1
steel 1
strength 1
survivable 1
surviving 1
sword 1
swords 1
taken 1
tarrant 1
that 4
the 11
their 1
then 1
they 1
theyre 2
theyve 1
to 8
together 1
traps 1
travel 1
two 1
unarmed 1
underworld 1
up 1
vacationing 1
villain 1
wearing 1
wenczel 1
willie 6
with 4
work 1
working 1
wound 1
