4263584
/m/0bt0gp
/m/0bt0gp
Trudi Canavan
2003
13 1
500 1
a 70
abandoned 1
able 3
about 9
absorb 2
absorbed 2
absorbing 2
accept 1
accidentally 1
accompanied 1
act 1
advance 1
advantage 1
after 3
again 2
against 1
ago 1
agrees 3
aid 3
akkarin 75
alchemic 1
alcove 4
all 4
allowed 2
alluring 1
alone 1
already 1
also 6
amazed 2
ambassador 1
ambush 1
ambushed 1
an 11
ancient 1
and 111
another 7
answer 1
answers 1
any 2
anyone 1
anything 1
appoint 2
apprehended 1
architect 1
are 16
arena 1
argues 1
arguing 1
aristocratic 1
arms 1
around 2
arriving 1
as 24
asks 2
assassination 1
assigned 1
assist 1
assistant 1
assure 1
assures 1
at 15
attacked 1
attacking 1
attempting 1
aunt 6
author 1
autobiography 1
available 1
avoid 1
awakes 1
aware 1
baby 3
back 9
backwards 1
badly 1
balkan 1
barricades 1
barrier 2
battle 3
be 13
beat 1
beautiful 1
became 1
because 4
becomes 1
bedroom 1
been 12
before 6
begin 1
begins 3
behind 1
being 1
believe 2
believes 1
belly 1
between 1
beyond 2
birth 1
black 16
blood 1
blow 1
blue 1
book 4
books 2
border 2
borders 1
borrowed 1
both 1
bout 1
break 1
breaks 1
brother 1
building 2
buildings 2
builds 1
but 24
by 27
call 1
called 3
calls 1
came 2
can 5
candidate 1
cannot 1
capital 1
captivity 1
captured 2
care 1
carry 1
carrying 1
case 2
caught 1
causing 1
ceases 1
centuries 1
cery 7
ceryni 1
challenge 1
challenged 1
change 1
changed 1
changes 1
channel 1
character 1
chest 1
circle 1
city 4
class 1
classes 1
climactic 1
closer 1
clothes 1
collapse 1
collapses 1
combat 1
combination 1
come 3
comes 2
complete 1
completely 1
concerned 1
conclusion 1
condition 1
confronting 1
confused 1
connection 1
consequences 1
constantly 1
constructed 1
continues 2
continuously 1
control 2
conversation 1
convicted 1
coren 2
cost 1
could 3
country 1
creates 1
cunning 1
cut 1
cuts 1
dakova 9
damage 1
dannyl 16
day 2
dead 1
deal 1
dealt 1
death 1
debate 1
decide 1
decided 1
decides 3
deed 1
deeply 1
defeat 1
defenses 1
dem 4
depressed 1
deserves 1
desired 1
destroy 1
details 1
detect 1
determine 1
develops 1
did 2
didnt 1
die 2
dies 3
disclosed 1
discovered 1
discovers 3
discriminatory 1
discuss 2
disguise 1
do 4
does 3
doesnt 1
doing 2
done 3
dont 1
door 1
dormant 1
dorrien 4
doubt 1
down 1
drains 2
drank 1
draw 1
drink 1
drops 1
drug 1
duel 2
during 1
dwellers 1
dwells 1
dwindling 1
each 1
easily 2
eavesdropping 1
elder 1
else 1
elude 1
elyne 3
emotionally 1
encounter 1
end 1
ends 1
enemy 2
energy 3
enlist 1
enough 1
ensues 1
enter 1
entered 1
enters 3
escort 1
escorts 1
even 3
eventually 3
ever 1
everyone 2
everything 3
evil 1
exceptional 1
executed 1
exhausted 1
exile 1
exiled 1
expected 1
explain 1
explains 1
explanation 1
explanations 1
extremely 1
eyes 1
face 4
falls 1
false 1
family 1
famous 1
far 1
farand 15
fatal 1
favorite 1
fearful 1
feelings 2
feels 1
fellow 3
fever 1
fight 3
fighting 1
filling 1
final 2
finally 2
find 1
finding 2
finds 2
first 4
five 2
floor 1
follow 1
followed 1
food 2
footsteps 1
for 22
forbidden 1
force 3
forced 2
forest 1
formally 2
formed 1
found 1
free 1
friend 2
from 11
fron 1
full 1
fullfledged 1
further 1
future 1
gains 1
gem 3
get 3
ghost 1
