18908367
/m/04jhp_9
/m/04jhp_9
Colin Dexter

{"/m/0lsxr": "Crime Fiction"}
18 1
185 1
a 5
aboard 1
and 3
another 1
as 1
at 1
barabas 1
barbara 1
barnardine 1
bed 1
besides 1
bleeding 1
boat 1
body 1
book 2
bray 1
but 1
by 1
called 1
canal 3
christopher 1
comes 1
committed 1
confines 1
convinced 1
country 1
crime 1
dead 1
death 1
deceased 1
epigraph 1
eventually 1
floating 1
following 1
for 2
fornication 1
found 1
franks 1
friar 1
from 3
given 1
hanged 2
hast 1
her 1
his 1
hospital 2
in 5
innocent 1
inspector 1
is 4
it 1
jew 1
joanna 1
john 1
led 1
little 1
malta 1
marlowe 1
men 2
morse 3
murder 4
novel 2
of 7
on 1
out 1
oxford 3
patient 1
play 1
prove 1
quotation 1
radcliffe 1
recently 1
recovering 1
sensational 1
serves 1
sets 1
soon 1
story 1
tells 1
that 2
the 20
thou 1
title 1
to 3
trial 1
two 2
ulcer 1
was 2
wench 1
were 2
wife 1
woman 1
young 1
