4589704
/m/0cbdwz
/m/0cbdwz

1989
{"/m/05hgj": "Novel"}
a 8
abusive 1
accept 1
alexandre 1
and 7
another 1
as 1
beats 1
because 1
bedroom 1
believe 1
blames 1
but 3
buys 1
by 1
cannot 1
clay 2
closing 1
commits 1
curator 1
death 1
did 1
discovers 1
encounter 1
ensues 1
episode 1
expose 1
faces 1
father 3
finds 2
for 1
found 1
frenchman 1
friend 2
gay 1
has 2
have 1
having 1
he 3
herzog 1
him 3
himself 1
his 4
homosexual 1
in 2
inclinations 1
is 2
it 2
jared 8
julian 4
led 1
likely 1
local 1
love 1
magazine 1
mccaverty 1
meets 2
museum 1
new 1
of 1
out 1
pages 1
paul 1
pedophile 1
randy 1
rapist 1
reader 1
rejection 1
relationship 1
school 1
sex 1
sexual 2
sexually 1
so 1
son 1
sparks 1
suicide 1
sympathetic 1
that 2
the 4
them 1
then 2
threatened 1
threatens 1
to 2
true 1
twentyyearold 1
will 1
with 2
