1193982
/m/04g6x3
/m/04g6x3
Terry Goodkind
2003-07
a 12
abilities 1
able 1
accomplish 1
actions 2
additional 1
adie 3
after 1
again 2
aggressor 1
aid 1
all 3
allowed 1
along 1
also 2
an 1
and 22
animals 1
ann 1
antidote 2
any 2
are 7
arms 1
artifacts 1
as 4
attempts 1
back 1
balance 3
balancing 2
bandakar 12
banished 2
be 1
because 2
before 2
begged 1
begins 1
behind 1
being 2
belief 1
believed 1
boundary 1
but 3
by 7
camp 1
capable 1
captain 1
captured 2
causing 1
certain 1
characters 1
chase 3
children 2
companions 1
complicated 1
constructed 1
convinces 1
could 1
course 1
creating 2
creation 1
dark 1
death 2
descendants 1
destroy 1
destroys 1
destruction 1
detailing 1
dharan 1
disbelieve 1
do 2
down 1
during 1
eating 1
embrace 1
embraced 1
empire 4
encampment 1
entire 1
entrances 1
espoused 1
eventually 1
evil 1
existence 1
fail 2
faith 1
families 2
family 1
fight 1
focuses 1
for 3
force 2
forced 3
forms 1
free 1
freedom 1
from 6
full 1
further 1
gave 1
gift 4
give 1
go 2
goals 1
goes 1
guard 1
halfsister 1
has 1
he 5
help 1
him 3
himself 5
his 13
house 1
how 1
however 1
ideals 1
ideas 1
identification 1
identify 1
if 1
imperial 3
improper 1
in 13
independently 1
individualist 1
information 1
interactions 1
interrupted 1
into 2
invites 1
is 7
it 2
jennsen 1
justified 1
kahlan 1
keep 5
kill 1
kills 1
laid 1
laughter 1
leave 1
like 1
listen 1
lives 1
magic 1
main 1
man 1
meat 1
men 4
mistaken 1
move 2
much 1
nathan 1
necessary 1
need 1
nicholas 2
no 1
not 5
novel 2
object 1
objects 1
of 28
old 4
on 1
once 1
only 2
or 1
orchestrated 1
ordeal 1
order 7
other 1
out 1
owen 1
own 1
parents 1
people 5
philosophy 1
piece 1
pillars 1
placed 1
poison 1
poisons 1
pristinely 1
process 1
project 1
prophecy 1
putting 1
rachel 1
rahl 1
random 1
rather 1
realign 1
reality 1
realizes 2
reclaim 1
reeling 1
refused 1
remaining 1
remembers 1
require 1
required 1
rescue 2
restoring 1
result 2
resulting 1
richard 11
rikka 1
save 1
saved 1
screams 1
see 1
set 1
several 2
shed 2
shunned 1
sister 1
situation 1
slide 1
so 1
some 1
soul 1
souls 1
spell 1
stealing 1
straight 1
strongly 1
sword 1
take 1
taken 1
temporary 1
that 8
thatbecause 1
the 53
their 5
them 3
themselves 1
then 1
these 2
they 10
this 3
thousands 1
threat 1
three 1
through 1
throughout 1
time 1
to 31
together 1
torture 1
tortured 1
travels 2
tried 1
truth 1
twist 1
ultimately 2
unable 1
ungifted 1
unleash 1
up 2
used 1
uses 1
using 1
violence 1
walk 1
was 4
were 5
what 1
when 1
which 1
while 3
who 3
with 5
within 3
wizard 1
wizardkajarang 1
work 1
world 4
would 2
years 1
yoke 1
zedd 5
zimmer 2
