1393403
/m/04z1c8
/m/04z1c8
Witold Gombrowicz

a 6
after 2
an 1
and 4
argentina 1
as 2
between 1
break 1
by 1
community 1
confronted 1
constantly 1
contrasts 1
country 2
debauched 1
drinking 1
duel 1
embarks 1
emigre 1
exasperating 1
expatriate 1
fantastical 1
fellow 1
finding 1
finds 1
follow 1
forced 1
have 1
he 2
himself 2
his 4
in 3
involved 1
is 3
local 1
love 1
man 1
nationalism 1
nazis 1
night 1
ocean 1
of 4
on 1
only 1
out 1
over 1
penniless 1
poles 1
polish 2
second 1
series 1
shallow 1
status 1
stranded 1
take 1
taken 1
the 6
to 1
turns 1
twists 1
visiting 1
voyage 1
war 1
which 1
while 1
with 1
witold 2
writer 1
young 1
