10800600
/m/02qqfr5
/m/02qqfr5
Janet Frame
1989
a 9
also 1
an 1
and 4
another 1
antipodean 1
are 2
as 5
bedroom 1
begins 2
brecon 1
brought 1
by 2
carpathians 2
cemetery 1
combines 1
complex 1
dead 1
debut 1
decides 1
dense 1
describes 1
discovers 2
elements 1
eventually 1
existence 1
flower 2
fly 1
followup 1
future 1
gradually 1
grip 1
grow 1
hearing 1
her 3
herself 1
hijacked 1
his 1
house 1
however 1
husband 1
imposter 1
impostors 1
in 2
into 1
is 4
jake 1
kowhai 2
land 1
legend 1
linking 1
lives 1
locals 1
loses 1
magical 2
mattina 5
memories 1
memory 2
metafiction 1
mysterious 1
neighbours 2
new 5
novel 2
novelist 3
of 8
on 2
once 1
one 1
out 1
own 1
place 2
posing 1
postmodernism 1
presence 1
presented 1
protagonist 1
puamahara 1
realism 1
record 1
release 1
rents 1
resemble 1
rumoured 1
rural 1
said 1
secrets 1
sets 1
she 3
silent 1
slowly 1
smashhit 1
still 1
street 2
struggling 1
success 1
the 17
them 1
there 1
time 2
to 9
topsyturvy 1
town 2
unravel 1
upon 1
visit 1
we 1
wealthy 1
where 2
who 1
whose 1
with 2
world 1
yorker 2
zealand 1
