1145369
/m/04b66v
/m/04b66v
Stephen King
2001-09-15
{"/m/01jfsb": "Thriller", "/m/03npn": "Horror", "/m/014dfn": "Speculative fiction", "/m/02n4kr": "Mystery", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction", "/m/0c3351": "Suspense"}
a 12
adventures 1
affect 1
after 2
agent 1
albert 1
all 5
allow 1
aloof 1
already 1
also 1
an 2
and 12
angeles 2
anxious 1
apparent 1
are 2
as 5
aspects 1
assistance 1
awaiting 1
be 1
beams 1
beauty 1
become 2
becomes 1
been 2
beg 1
begins 1
begun 1
bodies 1
boy 1
break 2
breakers 2
bring 1
but 2
by 3
cannibalism 1
capable 1
capture 2
certain 2
child 2
children 2
conscious 1
cooperates 1
coulee 1
country 1
coverage 1
crime 1
crimes 1
crimson 2
dark 1
day 1
department 1
discovered 1
discovery 1
dubbed 1
due 1
each 1
early 1
echoing 1
effort 1
elements 1
emulate 1
end 1
enjoy 1
enraptured 1
establish 1
even 1
event 1
events 3
ever 1
exacerbate 1
existence 1
fact 1
farm 1
fears 1
find 1
fish 2
fisherman 5
flatly 1
flipping 1
for 2
forgotten 1
fourth 2
french 7
from 2
grew 1
has 5
have 3
he 8
helped 1
him 2
himself 1
his 10
hollywood 1
homicide 1
hope 1
hunt 1
in 8
inability 1
indulges 1
inflammatory 1
insurance 1
into 1
intrudes 1
investigation 2
involving 1
irresistibly 1
is 8
it 1
jack 8
just 1
killer 5
king 2
landing 7
lapd 1
later 1
led 1
lieutenant 1
life 1
like 1
local 2
longer 1
los 2
marshall 1
may 2
media 1
memories 3
methods 1
monica 2
more 2
most 1
moves 1
much 1
murderer 1
murders 2
natural 1
nature 1
nearlylegendary 1
needs 1
no 1
not 1
of 18
one 1
only 1
opens 1
over 1
overwhelm 1
passing 1
pedophilekiller 1
people 1
plague 1
police 4
potential 1
powerful 1
professionalism 1
proves 1
provocative 1
quickly 1
reaction 1
refuses 1
region 1
remain 1
remaining 1
repressed 2
reputation 1
residue 1
resigns 1
retirement 1
revive 1
salesman 1
sanity 1
santa 2
sawyer 3
scene 1
serial 1
series 2
serve 1
served 1
simple 1
situation 1
story 1
subsequently 1
subtly 1
surprised 1
taken 1
talent 1
talisman 2
targets 1
task 1
territories 3
terrorize 1
than 1
that 2
the 44
them 1
there 1
these 1
third 1
though 1
threaten 2
to 21
tower 1
town 1
traced 1
twelve 1
two 1
tyler 1
uncanny 1
up 1
upon 1
victim 1
victims 1
when 5
where 1
while 1
wisconsin 3
with 5
worlds 1
yearold 1
