4482031
/m/0c4x11
/m/0c4x11
Matthew Sharpe

16 1
a 9
abandoning 1
abortion 1
about 1
accidentally 1
active 1
actually 1
again 1
also 1
an 2
and 10
antidepressants 1
any 2
aptly 1
are 1
as 4
at 3
baby 1
before 1
begins 1
behind 1
being 1
believe 1
bellwether 1
bernard 3
best 2
brink 1
brother 1
but 2
california 1
calls 1
can 1
cannot 1
catholicism 1
cathy 3
centre 1
challenge 1
change 1
child 1
children 1
chris 3
classmate 1
coma 1
connecticut 1
converting 1
cope 1
crush 1
danmeyer 1
demanding 1
develops 1
dial 1
do 1
does 1
dual 1
encounter 1
end 1
enforced 1
ever 1
everyday 1
exactly 1
faced 1
falls 1
family 1
fantasizes 1
father 3
fellatio 1
fictional 1
first 2
francis 1
friend 1
goes 1
going 1
handicappedmdashhis 1
happens 1
has 3
have 2
having 2
he 8
her 6
herself 1
him 1
his 11
however 1
impaired 1
in 4
incompatible 1
instead 1
into 1
is 7
jewish 1
job 1
keep 1
kids 1
later 1
lawyer 1
learn 1
leaves 1
life 2
lila 2
lisa 1
live 1
lives 1
longer 1
lovers 1
major 1
makes 1
many 1
meanings 1
medication 1
memory 1
might 1
mind 1
more 2
moves 1
munroe 1
named 1
need 1
neurologist 1
not 2
notices 1
of 7
on 5
or 1
ordinary 1
own 1
pathologist 1
performs 1
permanently 1
pregnancy 1
preoccupation 1
publicist 1
raise 1
real 1
rehab 1
relies 1
remaining 1
result 1
roman 1
roots 1
same 1
school 1
schwartz 4
schwartzes 1
seriously 1
sex 2
sexual 1
sexually 1
sexy 1
she 3
shortly 1
should 1
similar 1
sister 2
sleeping 1
slurred 1
small 1
soon 1
speech 3
spite 1
still 1
stroke 1
successful 1
swallows 1
teaches 1
teenage 2
that 2
the 11
their 2
thereafter 1
thinks 1
this 1
time 1
to 8
town 1
trains 1
trouble 1
two 3
unconscious 1
union 1
unsteady 1
unsure 1
unwanted 1
up 2
virgin 1
wakes 1
walk 1
what 1
when 3
where 1
whether 1
while 2
who 1
with 5
without 1
woman 1
words 1
works 1
writer 1
yearold 1
young 1
younger 1
