3641531
/m/09rql2
/m/09rql2
Gottfried Keller

a 7
abandoning 1
activities 1
affected 1
affords 1
after 1
alltootardy 1
altogether 1
an 1
and 11
art 1
artistic 1
as 1
at 2
attempts 1
away 1
be 1
becoming 1
better 1
bohemia 1
brief 1
brought 1
burgher 1
by 1
chancery 1
cheerfully 1
childhood 1
civil 1
clear 1
clerk 1
color 1
count 1
description 1
details 1
determines 1
dismissal 1
dress 1
dying 1
encounters 1
enter 1
eventual 1
experience 1
experiences 1
extended 1
far 1
finds 1
first 1
fledgling 1
for 1
from 4
gets 1
goes 1
green 1
has 2
have 1
he 4
heinrich 5
henry 1
his 7
home 1
idles 1
in 4
instability 1
installation 1
irresolution 1
is 2
it 1
its 1
justified 1
keller 1
last 1
lee 1
life 2
lived 1
makes 1
mansion 1
mother 3
much 1
munich 2
name 1
not 1
occasion 1
of 4
out 1
painter 2
political 1
pranks 1
reader 1
reality 1
reflections 1
reminiscences 1
repentance 1
returns 1
revised 1
risen 1
romantic 1
school 1
second 1
sees 1
service 1
some 1
son 1
steadily 1
story 1
swiss 1
tenderly 1
than 1
that 3
the 10
then 1
there 1
this 1
through 2
time 1
to 5
tone 1
too 1
understand 1
up 1
version 1
village 1
was 1
way 1
which 1
widowed 1
worthwhile 1
would 1
youthful 1
