530735
/m/02m48l
/m/02m48l
Benjamin Hoff
1982

a 4
about 1
accentuate 1
actual 2
also 2
an 1
analogy 1
and 9
as 3
at 1
authors 1
backing 1
be 1
being 1
bitter 1
book 2
books 1
buddha 2
but 3
by 1
characters 3
complains 1
concept 2
confucius 2
confusion 1
contrast 1
conveniently 1
corner 1
description 1
differ 1
doing 1
each 1
eastern 1
eeyore 1
effortless 1
example 1
excerpts 2
exemplify 1
existence 1
experience 1
finds 3
for 1
foundation 1
founder 1
frets 1
from 5
great 1
he 1
him 1
himself 1
his 1
hoff 3
house 1
ideas 1
in 2
incorporates 1
instinctive 1
interact 1
is 1
it 3
just 1
laozi 3
life 1
like 1
many 1
methods 1
milne 3
nature 1
of 12
often 1
open 1
or 1
order 1
others 1
over 1
overcomplicate 1
overthinking 1
owl 1
painting 1
personifies 1
pessimistically 1
philosophical 1
point 1
points 1
pooh 3
portraying 1
presents 1
principles 1
problems 1
problemsolving 1
prominent 1
pu 1
quotes 1
rabbit 1
regards 1
related 1
representative 1
satisfying 1
simpleminded 1
sour 1
starts 1
stories 1
story 1
such 1
symbolize 1
tales 1
tao 1
taoism 1
taoist 4
tasters 1
tasting 1
tenets 1
texts 1
that 2
the 16
their 1
then 1
thinkers 1
this 1
three 1
to 5
traditional 1
translated 1
unable 1
unburdened 1
unfolds 1
unsophisticated 1
up 1
uses 1
various 1
vat 1
vinegar 3
wei 2
which 1
while 1
winniethepooh 3
with 2
worldview 1
writes 1
wu 1
zhuangzi 1
