21654663
/m/05mty_l
/m/05mty_l
Dan Rhodes
2007

a 8
all 1
appearance 1
as 1
attention 1
attracts 1
away 1
beach 1
becomes 1
boulder 1
business 1
but 1
by 1
coastal 1
community 1
concerns 1
cottage 1
decorating 1
each 1
every 1
female 1
for 1
from 1
gold 2
granted 1
grindl 1
her 3
impulsive 1
in 7
involved 1
is 1
it 1
lesson 1
local 3
miyuki 1
month 1
more 1
nearby 2
not 1
of 2
on 1
other 1
partner 1
pembrokeshire 1
police 1
prominent 1
pub 1
referring 1
runs 1
set 1
she 2
soon 1
spends 1
spraypainting 1
staying 1
taking 1
than 1
the 6
this 1
title 1
to 1
usual 1
village 1
welcomed 1
welshjapanese 1
which 1
who 1
whom 1
winter 1
with 1
woman 1
woodward 1
year 1
young 1
