14047542
/m/03cs11j
/m/03cs11j
Alistair MacLean
1977
{"/m/01jfsb": "Thriller"}
a 3
able 1
and 8
are 1
as 1
at 1
be 1
betrothed 1
biggest 1
business 2
certain 1
competitors 2
daughters 3
deal 1
death 1
destroy 1
destroys 1
detectivesnow 1
enemies 1
fabulously 1
for 1
former 1
fortunately 1
from 1
get 1
gulf 1
has 2
he 1
him 1
his 5
in 3
inflate 1
intends 1
investigators 1
is 1
it 2
kidnaps 1
leave 1
lord 3
lot 1
made 1
man 1
mexico 1
mitchell 1
named 1
new 1
nuclear 1
of 5
offshore 1
oil 3
on 1
one 2
out 1
personal 1
police 1
price 1
private 1
protagonists 1
put 1
rig 1
roomer 1
ruthless 1
save 1
score 1
seawitch 2
send 1
set 1
settle 1
stolen 1
the 9
them 1
therefore 1
they 1
to 7
together 1
trying 1
two 2
villain 2
wealthy 1
weapon 1
when 1
will 2
with 3
world 1
worth 5
