26846306
/m/0bmbjqm
/m/0bmbjqm
Randall Robinson


0 1
1 3
1000000 1
108day 1
11 5
115 1
12 1
124 1
13 1
137 1
14 3
142 1
150000 1
151 1
1542 1
157 1
16 1
17 1
171 2
1803 1
184 1
186 1
187 1
1day 1
2 2
20 1
200 2
2000 1
20000 2
2002 1
2003 1
2004 10
2006 1
200th 1
20th 1
21 2
28000 1
2day 1
35000 1
4000 1
430 1
465000 1
50 1
5000 1
50000 1
500000 1
6 1
7 1
7500 1
8 1
a 31
abc 1
abduction 2
about 2
accept 1
according 1
accounting 1
accused 2
active 1
addictive 1
adjudicated 1
administration 1
advancement 1
advocate 1
affiliations 1
africa 1
african 5
after 4
again 1
against 3
agency 1
aggression 1
aids 1
all 2
allowed 1
along 1
also 4
always 1
am 1
amalgam 1
ambassador 1
ameliorate 1
america 6
american 6
americans 1
americas 3
among 1
amy 1
an 10
and 63
another 2
antiaristide 2
antidemocracy 1
antidemocratic 2
antoine 1
any 2
anyone 1
anywhere 1
apaids 1
arcelin 1
are 3
area 1
aristide 34
aristides 1
armed 6
arrived 1
as 14
assistant 1
association 1
asylum 2
at 5
attack 1
attempted 2
attend 1
attorney 1
authorization 1
avril 1
bahamas 1
bangui 2
barriers 1
be 4
beaten 1
because 2
been 11
before 1
began 1
begins 1
behave 1
being 3
benefit 1
bertrand 1
best 1
between 3
biambi 1
bigios 1
billion 2
birth 2
birthday 1
black 2
blamed 1
blockades 1
bolvar 1
bondage 1
both 1
boulos 1
boziz 3
brands 1
brutal 1
builds 1
bully 1
bush 2
but 4
by 18
called 3
came 1
campaign 1
can 3
canada 1
capital 1
captain 1
capture 1
caribbean 2
cbs 1
cedras 2
celebrated 2
central 8
century 1
certificate 1
certificates 1
chairman 1
chamblain 3
chapters 1
charges 1
chief 1
chiquita 1
chirac 1
choked 1
christopher 2
cia 1
circumstance 1
cited 1
civilians 1
claims 1
clark 1
class 1
clay 1
cleaved 1
cnn 1
cocaine 1
collect 1
colonel 1
colonialism 1
colony 1
combustion 1
commands 1
commending 1
commission 2
committed 1
committee 1
communism 1
communists 1
community 1
company 1
concern 1
concerned 1
concludes 1
condoleezza 1
confirmed 2
congress 1
constant 1
constitution 1
contentment 1
continued 1
continues 2
control 1
controlled 1
conventional 1
convergence 2
cooperation 1
cordell 1
corporation 1
corrupt 1
counseled 1
country 4
coup 1
couple 1
crimes 1
cristbal 1
cuba 2
current 1
customs 1
date 5
dates 1
day 1
days 1
de 1
death 5
december 1
decision 1
defeat 1
defense 2
demand 1
demanded 1
demanding 1
demands 1
democracy 7
democratic 3
democratically 2
democratique 2
demonstrated 1
departed 1
department 2
departure 2
deposition 1
deputy 1
described 2
describes 2
describing 1
despite 1
destabilize 1
dictatorial 1
dictators 2
dictatorship 2
did 4
die 1
died 1
different 1
diplomatic 2
direct 1
directed 1
directly 2
do 1
documents 1
dodd 2
dollars 2
dominican 11
dominique 1
douglass 1
down 1
drive 1
driven 1
drug 1
during 1
duvalier 7
dysfunctional 1
early 2
economic 1
economically 1
economy 1
ecuador 1
editor 1
effort 1
efforts 2
eisner 1
either 1
elected 7
election 2
elections 4
eliminating 1
elites 1
embargoes 1
