7919109
/m/026k1s_
/m/026k1s_
André Franquin
1956

a 2
after 1
all 1
an 1
and 4
army 1
as 1
back 1
become 1
by 1
causes 1
champignac 1
change 1
chaos 1
count 1
country 2
cousin 1
cruise 1
curious 1
decide 2
dictator 1
eventful 1
fantasio 2
feign 1
find 1
foil 1
general 1
has 1
heart 1
him 1
himself 1
his 2
home 1
in 3
indignantly 1
intent 1
invading 1
invasion 1
inventions 1
is 1
it 1
jail 1
journey 1
jungles 1
marsupilami 1
neighbouring 1
now 1
of 3
offers 1
on 1
one 1
over 1
pair 1
palombian 1
plan 1
positions 1
powermad 1
refuse 1
reinvented 1
ruthless 1
shady 1
ship 1
spirou 1
take 1
that 2
the 7
them 2
they 2
throws 1
time 1
to 4
top 1
town 1
using 1
when 2
zantafio 2
zantas 1
