20877284
/m/056blm6
/m/056blm6
Lynn Flewelling
2010-05-25
{"/m/01hmnh": "Fantasy"}
a 14
abomination 1
about 1
accepted 1
after 1
aftermath 1
again 2
ahead 1
alchemically 1
alchemists 1
alec 9
alive 1
all 3
allows 1
alone 1
along 1
an 2
and 28
anger 1
announces 1
archers 1
arrow 1
as 6
at 2
back 2
bargain 1
be 3
before 2
begs 1
believe 1
bkthersa 1
blind 1
blood 1
board 1
books 6
brands 1
break 1
bring 1
burn 1
but 2
by 1
call 1
calls 1
cannot 2
captain 1
care 1
catch 1
catches 1
caught 1
chase 1
child 1
choice 1
clan 1
coaxes 1
collarbone 1
come 2
contact 1
cottage 2
counsels 1
create 1
created 1
creates 1
creaturethe 1
cuts 1
danger 1
death 1
despite 1
destroy 2
do 1
doesnt 1
dragon 3
each 2
ebrados 1
elude 1
encountering 1
errand 1
escaped 1
find 4
for 5
forges 1
forgive 1
friend 1
frightening 1
from 3
get 1
gets 1
give 1
go 1
goes 1
green 1
group 1
guess 1
guidance 1
guide 1
half 1
has 2
have 1
having 1
he 17
heals 1
hell 1
help 1
hiding 1
him 9
himself 3
his 2
hoping 1
hostage 1
house 2
hunt 1
hunters 1
hzadrilfaie 2
hzadrin 1
ilar 4
immediately 1
in 10
instead 2
into 2
is 2
its 1
kills 1
knocks 1
lady 1
leader 1
learn 1
leave 1
leaving 1
let 1
life 2
lives 1
local 1
make 2
makes 1
male 1
manages 1
meets 1
micum 3
moonwhite 1
more 2
morning 1
must 1
nature 1
near 1
need 1
never 1
nightrunning 1
no 2
nothing 1
of 11
on 4
once 1
order 1
other 1
out 3
outside 1
over 4
owls 1
ownership 1
pair 1
people 1
place 1
planned 1
plenimar 1
port 2
powers 1
presence 1
presents 1
problem 1
prolong 1
prophesied 1
realizing 1
receive 1
received 1
recognize 1
recognizes 1
recover 1
remain 1
remains 1
resolve 1
result 1
resume 1
rethanoi 4
retrieve 1
return 1
returns 1
revealing 1
rhal 1
rhminee 2
rieser 3
riga 3
road 1
saddled 1
same 2
sarikali 1
sebrahn 10
sebrahns 1
seems 1
send 1
seregil 11
serum 1
ship 1
shore 1
sight 1
skala 1
skin 1
slavery 1
sneaks 1
soldiers 1
speed 1
spots 2
stand 1
steals 1
still 1
story 1
strange 1
strike 1
take 1
takes 2
talk 1
tamr 1
tayangil 1
tells 1
than 1
that 8
the 33
theft 1
their 5
them 11
themselves 1
thero 1
they 13
this 1
through 1
time 1
to 26
toward 1
travel 1
tricked 1
true 1
turn 1
two 1
tyrmari 1
ulan 4
understands 1
unfortunately 1
up 1
upon 1
veins 1
ventures 1
virrse 2
want 1
warrants 1
watcher 1
when 1
which 2
while 4
who 3
whom 1
will 2
witch 1
witches 1
with 7
woman 1
word 1
yhakobin 2
