4910795
/m/0ctspt
/m/0ctspt
Dean Koontz
1988
{"/m/014dfn": "Speculative fiction", "/m/03npn": "Horror", "/m/02xlf": "Fiction"}
a 26
ability 1
able 1
about 1
after 3
all 1
also 1
an 2
and 17
antichrist 5
anyone 1
apocalypse 1
are 2
armed 1
arson 1
as 5
attack 5
attacked 1
attacks 1
back 1
barely 1
barlow 3
barrage 1
bats 2
be 2
before 2
begin 2
behavior 1
being 2
believed 1
bleak 1
blizzard 1
bodyguards 1
bomb 1
book 1
both 1
boy 2
breed 1
buried 1
but 2
by 5
called 1
can 1
car 1
cause 1
caused 2
causes 1
cave 2
certain 1
charismatic 1
charlie 10
charlies 1
chase 1
chewbacca 1
child 3
christine 10
claims 1
cleared 1
climax 1
closes 1
cold 1
community 1
complexion 1
concludes 1
confronted 1
conscious 1
considering 1
continually 1
could 2
country 1
crime 1
cross 1
cult 3
curiosity 1
dead 1
decapitated 1
deluded 1
descent 1
detective 1
develops 1
different 1
distressing 1
does 2
dog 5
due 1
elderly 1
end 2
ends 1
energy 1
enlist 1
enlists 1
escape 2
even 1
eventually 1
evidence 1
exhausted 1
exposure 1
extreme 1
face 1
faith 1
falling 1
family 3
fanatical 1
far 1
fight 1
fights 1
find 2
finds 4
finish 1
following 2
for 2
from 2
future 1
get 1
gift 1
go 1
grace 3
grave 1
group 2
growing 1
grows 1
gun 2
gunshot 2
had 1
harrison 2
has 3
have 2
he 2
head 1
heavily 1
help 1
helper 1
her 11
here 1
herself 1
him 1
himself 1
his 1
hives 1
hold 1
home 1
how 1
however 2
humorous 1
if 2
illness 2
in 11
including 3
insane 1
inside 1
into 1
is 15
it 5
job 1
joey 8
journey 1
just 1
key 1
kill 3
killed 1
knows 1
kyle 3
last 1
leader 1
leave 1
left 1
life 1
lodge 2
long 1
looks 1
lot 1
love 1
madwoman 1
mall 1
man 1
mankind 1
many 2
matter 1
may 1
members 4
more 2
mountain 2
mountains 1
must 1
mysteriously 1
named 1
need 1
new 1
nights 1
no 2
not 4
of 19
officers 1
on 1
one 2
or 2
ordeal 1
original 1
pale 1
parent 1
parking 1
people 1
plagues 1
police 1
private 1
protection 1
provided 1
psychic 1
pulls 1
quickly 1
raises 1
rather 1
reaches 1
relationship 1
religious 1
remains 2
results 1
retreating 1
revealed 1
rise 1
saved 1
scavello 1
see 1
seems 1
sees 1
serious 1
servants 2
service 1
several 1
she 2
shoulder 1
side 1
single 1
sleeping 1
sleepless 1
so 1
sociopath 1
son 2
spivey 8
spiveya 1
stable 1
standing 1
stop 1
story 2
strange 1
strong 1
suffered 1
supposed 1
than 1
that 9
the 50
their 1
them 2
themselves 1
they 3
this 1
threat 1
tiresome 1
to 19
together 1
traces 1
track 1
travel 1
treacherous 1
tries 1
trigger 1
trying 1
twilight 4
two 1
unjust 1
up 2
van 1
very 3
visions 1
way 1
well 1
when 1
where 2
which 1
who 4
with 7
woman 1
wonder 1
wound 2
young 1
