14750908
/m/03gwkpz
/m/03gwkpz


{"/m/03mfnf": "Young adult literature"}
11 1
a 3
about 2
always 1
and 8
andrews 1
anyone 1
anything 1
are 5
as 1
at 1
audition 1
australian 1
band 2
be 3
book 1
bubble 1
bus 1
but 3
by 1
can 4
cannot 1
come 1
concerned 1
confirmed 1
could 1
dad 1
dance 1
definitely 1
deputy 1
died 1
doesnt 1
eight 1
elizabeth 1
emotions 1
english 1
enough 1
even 1
expelled 1
expulsion 1
fact 1
fears 1
feeling 1
finds 1
first 1
for 3
forever 1
from 1
gay 1
geeks 2
get 1
girls 4
grief 1
guitar 1
guy 1
has 1
he 4
head 1
help 1
him 1
his 4
hot 1
idol 1
in 7
incident 1
instead 1
is 5
it 1
jocks 1
just 3
know 1
lakeside 1
lands 1
later 1
latest 1
learn 1
like 2
make 1
makes 1
mark 1
meeting 1
months 1
mooning 1
mr 1
musical 4
musicals 1
new 2
not 4
of 2
office 1
on 1
or 1
out 2
part 1
performances 1
playing 2
pretend 1
principal 1
problem 1
prospect 1
punishment 1
rehearsal 1
revealed 1
rugbyplaying 1
school 3
seem 1
seven 1
since 1
sing 1
six 1
solve 1
stars 1
start 1
staying 1
stereotypes 1
suggestion 1
suppressing 1
suspended 1
takes 1
teacher 1
technique 1
ten 1
than 2
that 4
the 17
their 1
they 3
things 1
thinks 2
this 1
thousand 1
through 1
times 1
to 6
too 1
trombone 1
tryhards 1
voluntarily 1
weeks 1
what 1
who 1
will 8
wiser 1
with 1
work 1
worked 1
worse 1
worthwhile 1
year 2
years 1
