11437637
/m/02rck8m
/m/02rck8m
Troy Denning
2008-05-13
a 6
aboard 1
about 2
achilles 1
admiral 1
adopted 1
advantage 1
aftermath 1
allana 4
alliance 4
along 1
also 1
amelia 1
an 2
anakin 1
and 12
announces 1
any 1
anyone 1
are 1
armed 1
as 5
assassination 1
associated 1
attack 1
attacks 1
attempting 2
bad 1
base 1
battle 1
be 4
becomes 1
before 1
believe 1
believed 1
believes 1
ben 1
blocked 1
both 2
brother 1
but 1
by 5
caedus 10
capital 1
chance 1
chief 1
chooses 1
civil 1
coalition 2
condition 1
confrontation 1
confronts 1
consortium 1
continues 2
could 2
cripple 1
culminates 1
current 1
cuts 1
daala 1
danger 1
darkness 1
darth 2
daughter 3
death 3
desperate 1
did 1
didnt 1
disbanded 1
disguise 1
distracted 1
djo 2
do 1
door 1
drag 1
duel 2
each 1
end 2
ends 1
enemies 1
entire 1
events 1
face 2
fact 1
family 1
far 1
fel 1
fight 1
final 2
find 1
following 1
for 3
forcing 1
former 1
galactic 5
get 1
going 1
guard 1
guilt 1
had 2
han 1
hapan 3
hapes 1
hated 1
haunt 1
he 3
head 1
heavy 1
her 12
heroes 1
herself 1
him 5
his 5
however 3
imperial 4
in 8
inflict 1
injuries 1
installs 1
instant 2
instead 1
into 3
is 5
jacen 1
jagged 1
jaina 7
jedi 1
ka 4
kill 3
killing 1
last 1
late 1
leave 1
leaves 1
left 1
leia 1
lied 1
life 1
lightsaber 3
lord 2
luke 1
maad 1
manages 1
managing 1
manufactured 1
means 1
moffs 2
mother 2
nanovirus 3
natasi 1
necessary 1
new 1
not 1
novel 2
now 2
of 16
on 1
one 2
open 1
opening 1
opponent 1
other 1
out 1
over 2
overthrow 1
part 1
place 1
posed 1
possibly 1
power 1
prepared 1
proceed 1
programmed 1
prompting 1
queen 2
reach 1
realises 1
reality 1
redeemed 1
redeems 1
refuses 1
remnant 2
retaliatory 1
right 1
royalty 1
ruling 1
second 1
series 1
severing 1
she 4
sheathe 1
shedu 1
ship 1
shut 1
since 1
sith 2
skywalker 2
slamming 1
so 2
solo 3
state 2
status 1
stop 1
story 1
strike 3
survive 1
survived 1
tahiri 1
takes 1
taking 1
targeted 1
tendon 1
tenel 4
that 5
the 39
them 1
they 2
though 1
to 23
too 1
trick 1
tries 2
trying 1
until 3
use 1
vacuum 1
veila 1
war 1
warn 2
way 1
welcoming 1
what 1
when 1
whenever 1
which 4
with 8
would 1
wouldnt 1
