12524889
/m/02wbf9x
/m/02wbf9x
David Weber
2008-07
50000 1
a 17
about 1
accepts 1
accusing 1
advancements 1
advice 1
adviser 1
after 3
agree 1
agrees 1
alban 1
alexandria 1
aligned 1
all 2
allies 1
allpowerful 1
almost 1
also 4
although 2
an 3
ancestors 1
and 25
android 1
any 1
apostates 1
archbishop 3
archenemy 1
are 5
armada 1
armageddon 1
armed 1
arrives 1
as 11
ascended 1
assassination 1
assembles 1
at 1
athrawes 1
attack 5
attempt 1
attempts 1
awaiting 2
aware 1
barely 1
be 5
become 2
been 2
before 4
being 2
best 1
betrothing 1
between 2
bombardment 1
book 1
both 1
bravely 1
brink 1
brother 1
brutal 1
build 1
burn 1
burns 1
busy 1
by 7
can 2
capable 1
cayleb 16
challenging 1
chance 1
charis 17
charisian 9
chisholm 5
church 13
city 1
close 1
coastal 1
college 1
combine 2
combined 1
commander 1
commerce 1
communication 1
complied 1
concerned 1
conflict 1
confrontation 1
continually 1
controls 1
corisande 2
corsiande 1
could 1
course 1
creates 1
daughter 1
day 1
death 2
decide 2
decides 2
decision 1
declare 1
declares 1
defeated 1
defenders 1
defenses 1
delferahk 3
demand 1
denounces 1
desperate 1
despite 1
destroy 2
devastating 1
died 1
difficult 1
disrupts 1
do 2
docked 1
domestic 1
down 1
during 2
duties 1
dynnis 2
earl 2
economic 1
effective 1
efforts 1
else 1
embarks 1
emboldened 1
emerald 1
empire 1
enclave 1
end 1
enemies 1
enemy 1
ensuing 1
ensure 1
entire 1
erayk 1
eric 1
escape 1
espionage 1
essentially 1
evacuate 1
even 3
events 1
eventually 2
exact 1
exactly 1
exclude 1
execution 1
expecting 1
extensively 1
fair 1
falling 1
fate 1
father 2
favorable 1
fight 1
fleet 2
fleets 1
follow 1
following 1
for 5
force 3
forced 1
forces 2
founder 1
four 3
go 2
goal 1
god 3
government 1
gray 1
grey 2
ground 1
group 4
guardian 1
haarahld 2
had 3
hands 1
harbor 3
has 6
have 1
he 4
head 1
hektor 1
her 7
herself 1
him 1
himself 1
his 8
history 2
holy 1
humanity 2
if 1
in 13
inevitable 1
inevitably 1
inform 1
inquisition 2
instead 1
international 1
into 2
invasion 2
irrefutable 1
is 12
it 8
its 1
keep 1
kept 1
killed 1
kinetic 1
king 3
kingdom 7
kingdoms 1
knowing 1
known 1
lands 1
langhorne 1
large 2
largest 1
launched 1
league 2
led 1
left 2
locked 1
longtime 1
love 1
low 1
loyal 1
loyalists 1
luther 1
made 2
making 1
manages 1
marines 2
marriage 1
married 1
martin 1
massacre 2
massive 2
master 1
means 1
meantime 1
meanwhile 2
meeting 1
member 1
members 1
mentor 1
merchants 1
merely 1
merlin 5
mikael 1
military 1
minister 2
model 1
months 1
most 3
motion 1
nahrmahn 4
nations 2
nature 1
naval 1
navy 1
nearby 2
need 1
new 1
next 1
nimue 3
nobody 1
not 2
now 1
number 1
of 61
off 1
offering 1
office 1
on 6
one 1
only 1
order 5
originally 1
out 1
over 3
part 1
past 1
pei 1
people 3
planet 1
planetside 1
planned 1
plans 1
platform 1
political 1
port 1
ports 1
possible 3
precise 1
prepare 1
prevent 1
previous 2
prime 2
prince 2
principles 1
private 1
privateer 1
problems 1
proof 1
proposes 1
proves 1
public 1
publicly 1
pushes 1
queen 2
quickly 1
rapid 1
reaches 1
ready 1
reduces 1
reef 1
reinforced 1
relations 1
reluctantly 2
remain 1
resisted 1
responsible 1
restore 1
retribution 1
reveal 1
revealed 1
reveals 1
royal 1
rubble 1
rule 1
rules 1
ruling 1
safehold 8
sails 1
same 1
schism 1
seas 1
secret 2
see 1
seek 1
seize 1
sends 1
sent 1
set 1
setback 1
several 1
shanwei 1
sharleyan 6
she 3
shipping 1
shocked 1
shortly 1
site 1
sneak 1
so 1
society 1
somewhere 1
source 1
space 1
stage 1
staynair 4
stead 1
steered 1
struggle 1
subjugated 1
suffer 1
support 1
supporters 1
surrender 2
swift 1
target 1
task 1
technology 1
terms 1
that 8
the 72
their 2
them 2
there 1
they 4
things 1
this 2
throne 1
tiring 1
to 40
together 1
towards 1
town 1
true 3
truth 3
try 1
two 1
uncovered 2
unknown 1
unlike 1
until 1
up 1
urge 1
used 1
very 5
vessels 1
via 1
victory 1
war 1
was 2
way 2
wedding 1
well 2
were 1
when 1
where 2
which 5
who 4
whomever 1
will 4
with 9
without 1
world 1
younger 1
