5629681
/m/05znqj7
/m/05znqj7
Alex Flinn
2007-10-02
a 22
able 1
about 1
act 1
actually 1
addict 1
adrian 17
after 3
again 1
age 1
aid 1
all 3
allow 1
allows 1
along 1
also 3
an 1
and 39
angered 1
apartment 1
appearance 2
appears 1
are 1
arrogant 1
as 4
ashamed 1
asks 1
assure 1
at 3
away 1
back 4
be 5
bear 1
beast 1
beastly 1
because 3
become 3
bedroom 1
been 1
before 1
begin 2
between 1
blind 1
books 1
booth 2
break 1
breaks 1
bride 1
builds 1
bumps 1
but 2
by 5
cabin 1
call 1
calling 1
can 1
cant 1
captive 1
cards 1
care 1
cast 1
challenges 1
chance 1
change 2
christmas 1
class 1
clothing 1
college 1
comes 1
condemning 1
confused 2
crooked 1
cruel 1
cruelty 1
dance 2
dark 1
date 1
dating 1
daughter 1
day 1
days 1
deal 2
dear 1
decides 1
desperate 1
despite 2
didnt 1
disguise 1
does 4
doesnt 1
dog 1
doing 1
door 1
down 1
drop 1
drug 1
drugs 1
due 1
during 1
each 1
eat 1
efforts 1
english 2
enormous 1
even 1
ever 2
everyone 1
explains 1
family 3
famous 1
father 3
features 1
feelings 1
fights 1
filled 1
finally 1
find 2
for 10
forced 1
form 1
frees 1
friends 1
from 3
front 1
fun 1
fur 1
garden 1
gardening 1
gave 1
get 1
gets 3
girl 3
gives 2
go 3
goes 1
gone 1
good 1
green 2
greenhouse 1
had 1
hair 1
handsome 1
happily 1
has 6
have 2
having 1
he 27
hearing 1
heartbroken 1
hed 1
her 22
herself 1
him 13
his 23
hollowly 1
home 1
hope 1
house 2
housekeeper 1
how 1
however 1
hugs 1
human 1
humiliate 1
if 1
in 10
incredibly 1
injured 1
into 1
invites 1
is 20
it 2
jailer 1
job 1
just 1
kendra 5
kidnapper 1
kindness 1
kingsbury 1
kiss 3
kisses 1
kyle 14
last 1
later 1
leaves 1
let 1
life 2
like 2
lindy 19
live 5
lonely 1
look 1
looks 2
lose 1
love 3
loves 3
magda 5
magic 1
make 1
makes 1
man 1
many 1
means 2
memories 1
middle 1
mirror 2
misses 2
more 1
mortally 1
must 2
name 1
new 3
news 1
night 2
not 2
obligation 1
of 13
offers 2
on 1
one 5
order 1
original 1
other 1
out 2
over 1
overjoyed 1
own 1
people 1
personality 1
place 1
plants 1
popcorn 1
prepares 1
princess 1
proceeds 1
professes 1
professor 1
prom 1
prove 1
punishes 1
purchases 1
raped 1
rapist 1
realizes 2
reassures 1
red 1
reporter 1
rest 1
return 3
returning 1
returns 1
reunited 1
revealed 1
revealing 1
reveals 1
room 1
rose 2
roses 1
royal 1
rude 1
rushes 2
said 1
says 1
scatters 1
school 2
schoolmates 1
see 2
sees 1
self 1
sends 1
several 1
shallow 1
she 14
showed 1
side 1
sight 1
sledding 1
snowball 1
so 2
sold 1
solitude 1
somebody 1
son 1
soon 2
spells 1
spending 1
status 1
stay 2
still 1
studying 1
stumbles 1
subway 1
suggest 1
supervision 1
take 1
takes 1
teacher 1
teeth 1
tells 1
tenderness 1
terrified 2
that 10
the 21
their 2
them 1
then 4
there 1
thewouldbe 1
they 6
things 1
this 1
threatens 1
through 1
thunderstorm 1
ticket 2
time 1
to 39
together 3
told 1
train 1
transformation 1
transforms 1
tries 1
trouble 1
truly 1
tutor 2
two 2
ugly 1
under 1
understanding 1
university 1
up 4
upon 1
upset 2
us 1
uses 1
vanishes 1
very 2
vision 1
was 6
watch 1
what 1
when 5
where 2
which 4
who 7
whomever 1
will 8
window 1
wish 1
witch 2
with 11
working 2
would 1
wounded 1
year 2
years 1
younger 1
