8893655
/m/027nmk8
/m/027nmk8
Derek Benz
2007-01
a 1
adventure 1
again 1
an 1
ancient 1
and 5
another 1
army 1
battle 1
beforerevenge 1
betrays 1
black 2
but 1
castle 1
coma 1
dark 1
disappears 1
do 1
ernie 1
explore 1
falls 1
father 3
fellow 1
fireball 1
for 1
forest 1
four 1
friends 1
grey 3
griffins 3
harley 1
he 2
him 2
his 1
holidays 1
however 1
in 1
incident 1
into 1
it 1
kingernie 1
knights 1
lafey 1
lord 2
max 5
morgan 1
must 2
natalia 1
of 3
off 1
on 1
once 1
pixies 1
rescue 1
rise 1
scotland 1
set 1
shadow 1
staged 1
sumner 2
surrounds 1
tells 1
templar 1
that 1
the 11
to 2
traveling 1
up 1
visit 1
wake 1
werewolves 1
when 1
will 1
winter 1
witch 1
with 2
wolf 1
