382176
/m/021r3c
/m/021r3c
Roald Dahl
1972-09
{"/m/06n90": "Science Fiction", "/m/0dwly": "Children's literature", "/m/01hmnh": "Fantasy", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
358 1
a 21
aboard 1
about 1
absent 1
activates 1
administer 1
administering 1
adventurous 1
after 2
again 1
age 3
agreement 1
all 4
along 1
already 1
altogether 1
american 1
an 4
anchor 1
and 29
antenna 1
are 5
around 1
arrivals 1
arrive 1
as 8
astronauts 2
at 4
atmosphere 2
attempts 1
away 2
back 3
badly 1
be 1
beaten 1
because 1
become 3
becoming 2
bed 6
bedridden 1
been 1
before 2
beginning 1
begins 1
being 1
beneath 1
between 1
bite 1
board 1
body 1
book 1
breaking 1
british 1
bruised 2
buckets 1
burn 2
but 2
by 4
called 1
cameras 1
cant 1
capable 1
cautious 1
chance 1
change 1
charlie 11
chasing 1
chocolate 3
circles 1
come 1
companions 2
compound 1
congratulating 1
connects 1
controls 1
cord 1
crash 1
crashes 1
create 1
creation 1
creatures 1
critical 1
dangerous 1
dark 1
dead 3
destroying 1
devour 1
dinner 1
dirty 1
discovered 1
divebomb 1
division 1
do 1
docks 1
dont 1
dose 1
drag 1
due 1
during 3
earlier 1
earth 6
eighty 1
elevator 14
elvira 1
ending 2
ends 1
engines 2
enough 1
entails 1
enter 1
entirely 1
escape 2
even 1
ever 1
exact 1
except 1
extraterrestrials 1
factory 5
family 2
far 1
filled 1
first 1
flight 1
floats 1
flying 2
fog 1
for 2
form 1
formula 1
friction 1
from 4
general 1
george 3
georgina 5
get 3
gettysburg 1
gift 1
gilligrass 3
give 1
given 1
glass 4
gloomy 1
gnoolies 2
go 1
goes 1
going 1
good 1
gotten 1
government 1
grabs 1
grandma 1
grandpa 3
grandparents 4
great 3
greedy 1
guests 1
had 1
has 3
have 1
having 2
he 9
heir 1
helicopter 2
help 1
her 5
highly 1
him 1
himself 1
his 6
history 2
home 1
honor 1
hotel 5
house 3
hull 1
humans 1
improbable 1
in 14
incensed 1
including 1
infested 1
inform 1
inhabited 1
inside 1
instead 2
intend 1
into 6
invented 1
invisible 1
inviting 1
is 8
it 4
its 4
itself 1
joe 3
join 1
josephine 4
journey 1
just 1
kicked 1
knid 2
knidproof 1
knids 6
lancelot 1
leap 1
leaving 1
lee 1
left 1
letter 1
lincoln 1
line 1
link 1
lives 1
living 1
long 2
lose 1
lot 1
make 1
makes 1
making 1
many 1
mayflower 1
means 1
meanwhile 1
memory 1
mere 1
minus 1
minuses 1
minusland 2
moment 3
months 1
more 3
most 1
move 1
mr 1
much 2
mysterious 1
nanny 1
natives 1
nature 1
need 1
needed 1
nervous 1
new 1
newlylaunched 1
news 1
occupants 2
of 28
off 1
old 2
older 1
on 6
once 1
one 2
only 1
oompaloompas 2
operation 1
orbit 2
original 1
others 1
out 6
over 1
overdose 1
ownership 1
painful 1
panicking 1
parents 1
people 1
pick 1
pilgrim 1
pill 1
pilots 1
pinpoint 1
place 1
planet 1
plunges 1
predatory 1
present 1
presented 1
president 3
prey 1
process 2
proposes 1
provide 1
pursue 1
pushed 1
r 1
radio 1
range 1
reach 1
realm 1
reappear 1
recall 1
recipients 1
reentry 1
refuse 3
region 1
relative 1
releases 1
results 1
retrorockets 1
return 2
returning 1
right 1
rockets 1
roof 1
room 1
run 2
safely 1
safety 1
saving 1
says 1
seeing 1
sees 1
segments 1
sent 2
sentences 1
seventyeight 2
several 1
shapechangers 1
she 3
ship 1
shooting 1
shouts 1
shuttle 8
since 3
single 1
so 1
some 1
space 6
spacecraft 2
spanning 1
speeds 1
sprayable 1
staff 2
stars 1
states 3
steel 1
still 2
strong 1
subtract 1
suggests 1
surface 2
surrendered 1
survivors 1
take 1
takes 2
taking 1
tells 1
tested 1
than 1
that 6
the 88
their 3
them 6
then 3
there 2
they 11
this 3
those 2
three 3
through 1
thus 1
tibbs 1
time 1
to 35
together 1
too 2
tow 1
towing 1
train 1
travelling 1
trip 1
truces 1
turn 1
turned 1
twenty 2
two 3
unable 2
united 2
until 1
up 5
upper 1
use 2
using 1
vacuum 1
valuable 1
vermicious 1
very 1
vessels 1
vice 1
victims 1
visitors 1
vitawonk 3
voyage 1
waiting 1
want 1
wants 1
wars 1
was 5
waste 1
well 1
weve 2
when 1
where 1
whereupon 1
which 8
while 1
white 2
who 2
whom 1
why 1
willy 2
with 13
without 1
wonka 17
wonkavite 3
world 1
worse 1
wraps 1
year 1
years 4
yorktown 1
young 1
younger 2
