11286306
/m/02r6bwx
/m/02r6bwx
Hugh Walters
1968
{"/m/06n90": "Science Fiction"}
20 1
a 4
and 1
attacking 1
beneath 1
bill 1
book 1
bottom 1
bryson 1
but 1
by 1
capsule 1
cavern 2
creatures 1
damaged 1
detects 1
down 1
drilling 1
dudley 1
earth 1
everything 1
for 1
forms 1
him 1
history 1
hits 2
in 4
is 2
it 2
its 1
kingdom 1
life 1
menace 1
mentioned 1
microbes 1
midlands 1
miles 1
mohole 1
nearly 1
of 5
other 1
project 1
region 1
rocketpropelled 1
russian 1
search 1
send 1
serge 1
short 1
smylov 1
start 1
strange 2
surface 1
the 8
then 1
title 1
to 1
under 1
unexa 1
united 1
us 1
west 1
when 1
