646745
/m/02_7l2
/m/02_7l2
Michael Ende
1973-01-01
a 7
ability 1
about 2
activities 1
actually 1
adventure 1
advice 1
affects 1
after 1
all 3
always 1
among 1
amphitheatre 1
an 3
and 14
another 1
answers 1
appearing 1
are 2
arrival 1
art 1
as 6
asked 1
atmosphere 1
bald 1
bank 3
be 1
because 1
become 2
becomes 1
been 1
being 1
believe 1
beppo 1
buildings 1
but 2
by 3
came 1
can 4
cannot 1
cant 1
care 1
cassiopeia 1
cigars 2
city 2
client 1
closest 1
clothing 1
coat 1
communicate 1
considered 1
consumed 1
count 1
deposited 1
depths 1
derailing 1
devoid 1
doesnt 1
dried 1
each 1
encountering 1
especially 1
even 1
eventually 1
everyone 1
exactly 1
exist 1
extraordinary 1
extroverted 1
fail 1
fall 1
far 1
find 1
flows 1
for 2
forget 1
form 3
friends 2
from 4
fun 1
future 1
games 1
girl 1
given 1
go 1
gradually 1
grey 8
greyclad 1
greyskinned 1
guide 1
guido 1
has 2
have 1
heart 1
hectic 1
help 1
her 8
hoarded 1
honest 1
hope 1
hora 1
hour 2
hourlilies 1
household 1
how 1
however 1
humans 1
i 1
idea 1
illiterate 1
imagination 1
in 16
individuals 1
influence 2
instead 1
interest 1
into 1
is 9
it 1
ive 1
just 1
know 1
lair 1
later 2
less 1
life 2
like 1
lilies 1
listen 2
listening 1
little 1
lives 1
long 1
lost 1
lovely 1
made 3
make 1
makes 1
mankind 1
many 1
mdash 1
men 9
minute 1
minutes 1
minutus 1
momo 6
more 1
much 1
mysterious 1
neighbourhood 1
not 1
of 21
old 1
on 1
one 1
only 1
or 2
origin 1
other 1
outside 1
own 1
paranormal 1
parasites 1
parentless 1
people 5
personality 1
personification 1
petals 1
phrase 1
plans 2
pleasant 1
poetic 1
population 1
possible 1
present 1
problems 1
professor 1
promote 1
race 1
reality 1
really 1
recreation 1
remarkable 1
remember 1
replies 1
represent 1
representing 1
resolution 1
returned 1
revealed 1
rhythms 1
ruin 1
ruins 1
same 1
save 5
scheme 1
second 1
secundus 1
see 2
she 8
shell 1
silent 1
simply 1
sinister 1
sleeping 1
social 1
special 1
spoiled 1
stealing 1
sterile 1
stopping 1
strange 1
streetcleaner 1
supposedly 1
take 2
thanks 1
that 1
the 42
their 2
them 4
themselves 2
there 1
these 2
they 4
things 1
think 1
thirty 1
this 1
through 1
time 10
timesaving 2
timesavings 1
timewasting 1
to 14
tortoise 1
tour 1
try 1
under 1
unnamed 1
up 1
use 1
used 1
various 1
way 1
wearing 1
when 2
where 2
which 1
whole 1
will 1
with 3
without 1
wrench 1
writing 1
