5754747
/m/0f2xf2
/m/0f2xf2
Barbara Mertz
2001
115116 1
a 1
adversary 1
and 2
another 1
antics 1
associates 1
at 1
between 1
continue 1
course 1
criminal 1
dahabeeyah 1
during 1
emerson 1
emersons 1
excavations 1
family 1
find 1
for 1
former 1
giza 1
group 1
house 1
in 2
installment 1
is 1
it 1
little 1
living 1
make 1
master 1
most 1
near 1
nefret 1
newlyweds 1
nile 1
of 5
on 2
permitted 1
place 1
ramses 2
reappearance 1
remains 1
rest 1
rich 1
romancebut 1
season 1
smuggling 1
spend 1
takes 1
the 11
their 3
this 1
time 2
trade 1
unknown 1
where 1
which 1
while 1
with 1
yet 1
younger 1
