2386360
/m/078b7z
/m/078b7z
Boris Strugatsky
1964
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction"}
a 40
abandoned 1
abilities 1
abroad 1
accomplice 1
act 1
active 2
acts 1
actual 1
adventures 1
advices 1
affairs 2
after 2
again 1
against 2
agents 1
ago 1
agrees 2
alarmed 1
alert 1
alike 2
all 5
allies 2
also 2
an 3
and 43
anka 2
anna 1
anticipated 1
anton 6
antonrumata 1
any 3
apologizes 1
apparently 2
arcanar 3
are 6
arkanar 4
army 1
around 1
arrive 1
as 10
ask 1
asks 1
assumes 1
at 1
attacked 1
away 3
back 3
baron 1
based 1
bathing 1
be 9
bear 1
became 1
become 1
becomes 1
been 3
before 3
beginning 1
begins 1
behind 1
believe 1
beyond 1
bishop 1
blamed 1
blames 1
blaming 1
blood 1
boarding 1
border 1
both 2
break 1
bring 1
brings 1
broken 1
brother 1
brought 2
brutality 1
budah 11
but 3
by 13
calamities 1
called 1
campaign 1
can 2
cannot 2
cant 2
capture 1
carefully 1
chained 1
chance 1
chapter 1
childhood 2
children 2
choice 1
city 5
clear 1
colleagues 2
come 1
comes 1
commoner 1
concentrated 1
confessing 1
confidante 1
confident 1
confused 1
confusion 1
consequences 2
contacts 1
continue 1
conversation 1
convince 1
convinced 1
could 3
countries 1
coup 1
crime 2
criminal 1
criminals 1
crossbowman 1
crosses 1
currently 1
dead 2
deal 1
dear 1
death 1
decided 1
decides 1
deeper 1
defeated 1
defenceless 1
den 1
denizen 1
departure 2
did 1
die 1
died 2
dies 1
dire 1
disappearance 1
discover 1
discovers 1
discuss 1
discussion 1
disgust 1
disobey 1
dispatched 1
doctor 2
doctors 1
don 23
dona 2
done 1
dont 1
door 1
doused 1
dozens 1
dr 3
drawn 1
drunken 2
duchy 1
during 3
each 1
earth 5
earthmen 1
easily 1
educated 1
efforts 1
either 2
elder 1
encouraged 1
ensuing 1
entire 1
entrance 1
episode 1
escape 1
events 1
ever 1
evetually 1
executed 1
execution 1
existence 1
expedite 1
experienced 1
explaining 1
faced 1
fact 3
famed 1
famous 1
far 3
fascist 2
fearing 1
feel 1
feeling 1
feels 1
fight 1
fighting 2
finally 4
find 1
first 1
for 12
forge 1
forms 1
forward 1
fought 1
found 1
friend 1
friends 4
from 7
front 3
fullfil 1
further 1
future 1
futuristic 1
gained 1
gas 1
german 1
gift 1
give 2
gladly 1
go 3
god 3
goes 1
going 1
gold 1
goog 1
governor 1
grief 1
ground 1
group 1
grow 1
guard 2
guardsmen 1
gun 1
gunner 1
had 3
hands 2
has 4
haste 1
have 3
he 18
head 2
heart 1
heir 1
hell 1
henchmen 1
her 1
hide 1
high 1
him 6
himself 1
his 22
historical 1
history 1
hold 1
holds 1
holy 6
home 1
hopes 1
horrible 1
horrors 1
house 3
household 1
however 7
if 1
ii 1
impossible 1
impostor 2
in 28
including 1
information 2
infuriated 1
instinctively 1
instructed 1
interest 1
intervention 1
into 4
introducing 1
investigating 1
invited 1
involved 1
irukan 1
is 21
it 4
kidnapped 2
kidnapping 1
killed 3
killing 1
king 7
kingdom 4
kira 6
known 1
knows 1
kondor 2
lands 1
last 1
later 1
latterday 1
lead 1
leads 1
leave 1
left 2
less 2
life 3
likely 1
live 1
local 1
long 2
longer 1
losses 1
love 1
lover 2
loyal 1
machine 1
maddened 1
magister 1
magnitude 1
maladies 1
man 1
massacred 1
may 1
meaning 2
meddling 1
medieval 1
meet 1
meeting 1
members 1
men 1
might 2
militaristic 1
military 1
minimal 1
minister 1
misfortunes 1
moment 1
monks 1
more 3
morphing 1
most 3
multiple 1
murdered 1
murdering 2
must 1
named 1
narrated 1
native 2
neighboring 1
neighbouring 1
never 1
new 2
next 1
night 1
no 2
nobody 1
nonaggression 1
not 6
nothing 2
now 1
objectively 1
observer 1
observers 4
of 42
okana 2
on 6
only 2
openly 1
option 1
or 3
order 7
orders 1
organised 2
organized 1
other 4
our 1
out 1
overly 1
overwhelmed 1
pact 1
palace 1
pampa 1
particularly 1
pasha 1
pashka 5
past 1
paul 1
pawn 1
people 3
person 1
perspective 1
physician 5
pillaging 1
pitz 1
place 3
planet 2
planets 1
plans 2
play 2
plotting 1
poets 1
poison 1
police 1
poses 1
position 1
potion 1
power 2
prepared 1
presented 1
prime 1
prince 3
prison 1
progress 1
progressors 1
promised 1
promises 1
prove 1
pump 1
pumping 1
put 1
quality 1
question 1
quickly 1
rapidly 1
rascal 1
react 1
real 2
realizes 1
really 1
reba 25
regime 1
religious 1
remembering 1
remind 1
remnants 1
remorse 1
replies 1
rescue 1
rest 2
retreat 1
retribution 1
returns 1
revealed 1
reveals 2
road 2
roleplay 1
royal 3
rumata 38
rumored 1
same 1
saved 2
saving 1
scene 1
school 1
scientist 1
scientists 1
secretly 1
sect 1
seduce 1
see 1
seizing 1
send 1
sending 1
servant 1
she 2
shocked 1
shot 1
should 1
shows 1
sight 1
sign 2
single 1
skeleton 2
sky 1
sleepinducing 1
small 1
smoothly 1
smuggling 1
sneaks 1
soiree 1
soldiers 2
some 2
space 1
speed 1
squad 1
staging 1
stand 1
started 1
state 2
states 2
station 1
status 1
stay 1
staying 1
still 1
stimulate 1
stormtroopers 1
story 1
strait 1
stupor 1
style 1
successfully 1
succumbs 1
suddenly 1
suffer 1
suffering 1
suggest 1
superior 1
supernatural 2
sword 1
swords 1
take 2
talented 1
teenagers 1
tend 1
that 23
the 81
their 5
them 5
then 3
theological 1
there 2
they 4
this 2
three 1
throne 1
through 2
time 3
to 46
told 1
tolerable 1
torture 1
tortured 1
towards 1
treaty 1
tries 4
trouble 1
true 1
trusted 1
turmoil 1
turn 2
two 1
unaware 1
undercover 1
understands 1
unheard 1
unit 2
unsheathes 1
up 1
uses 1
utopia 1
uttermost 1
vaga 2
vi 1
vices 1
visits 1
waits 1
war 1
was 8
watching 1
way 4
we 1
well 1
were 1
what 1
wheel 2
when 4
where 2
whether 1
which 1
while 3
who 6
whoring 1
whose 1
window 1
wishes 3
wishing 1
with 19
witnesses 1
wonderful 1
wonders 1
woods 1
work 1
working 1
world 3
would 2
writers 1
wrong 2
yet 1
you 1
young 1
your 1
