345005
/m/01ylw1
/m/01ylw1
Jerry Pournelle
1974
150 1
3017 1
500 1
a 56
abandon 1
abilities 1
ability 2
aboard 1
about 1
absorbs 2
absorption 1
accelerate 1
accepts 1
access 1
accompanies 1
across 1
activating 1
actually 4
ad 1
adequate 1
admiral 1
adopts 1
advanced 3
after 4
again 1
against 1
alderson 8
alien 5
aliens 1
alike 1
all 2
allowing 1
allows 1
alloys 1
alone 1
along 2
already 1
also 3
alternative 1
although 3
always 2
amazing 1
ambassadors 1
an 11
anatomy 1
and 44
another 2
anthropologist 1
any 6
apart 1
apparently 2
appealing 1
appear 1
appearance 1
appears 2
arabic 1
are 15
area 2
areas 2
arises 1
aristocracy 1
arm 1
arms 1
around 1
arrival 1
arrives 1
as 21
aspect 1
assemble 1
assess 1
assistance 1
assistants 1
associated 1
assumed 1
asteroid 1
asteroids 1
astounding 1
astronomy 1
asymmetric 1
asymmetrical 1
at 6
attacked 1
attempt 1
attempts 2
automated 1
automatic 1
available 1
avoid 3
avoiding 1
back 2
basically 1
battle 1
battlecruiser 1
battleship 1
be 8
because 7
become 1
becoming 2
been 7
before 2
behind 1
believe 1
believes 1
between 5
biologically 1
biology 1
bipedal 1
birth 3
bizarrely 1
blaine 5
blockade 3
board 1
body 1
bombardments 1
book 2
both 2
bottled 1
bred 1
breed 1
breeding 1
bribed 1
bright 1
brings 1
brown 2
building 1
bury 3
but 10
by 11
caledonia 5
called 2
came 1
cameras 1
can 5
cannot 1
cant 1
capable 2
capital 4
captain 1
capture 3
carefully 1
carries 1
case 2
cases 1
caste 1
catalogue 1
causes 1
causing 1
chain 1
challenge 1
change 1
changing 1
character 2
characteristic 1
charge 1
charlie 3
chemicals 1
chicago 1
choice 1
civil 1
civilian 1
civilians 1
civilization 9
civilizations 1
clues 1
coalition 1
coalitions 1
coalsack 2
collapse 5
collapses 2
colonies 2
colonize 1
colony 1
combat 1
combined 1
come 1
comes 1
command 2
commander 2
commission 4
communication 1
compete 1
complete 1
completely 4
complex 1
comply 1
composed 1
conceal 1
concealed 1
concealing 1
conflict 3
consider 1
considering 1
contact 6
contains 1
continue 1
continued 1
continues 1
contrast 1
control 4
controlled 1
controls 1
costs 1
countless 1
course 1
craft 2
cratered 1
crazy 6
crew 2
cross 1
cure 3
current 4
custombuilt 1
cycles 7
danger 2
dark 1
days 1
dead 2
debate 1
deception 1
decide 1
deduce 1
deemed 1
delegation 1
delicate 1
descendants 1
descent 1
deserted 1
designation 1
designed 1
despite 2
destroy 2
destroys 3
destruction 3
detail 1
detected 1
diameter 1
died 1
different 1
directly 1
disappear 1
disaster 1
discovered 1
