4589813
/m/02p8c5_
/m/02p8c5_
Greg Bear

{"/m/06n90": "Science Fiction", "/m/02xlf": "Fiction"}
1200 1
2005 1
a 10
abandoned 1
abducted 1
access 1
actually 1
advances 1
after 1
alien 1
all 1
allies 1
almost 1
along 1
alternate 1
an 4
and 12
appear 1
appearance 3
appears 3
approximately 1
are 3
arrival 1
artificial 2
as 3
asteroid 4
at 1
augmentation 1
avoided 1
axis 3
based 1
be 4
because 1
been 1
belt 1
between 1
beyond 1
bodies 1
body 1
both 1
brilliant 1
built 2
but 2
by 6
calamitous 1
call 2
called 2
caltech 1
came 1
can 1
canonized 1
catastrophic 1
chamber 2
chambers 2
choose 2
cities 1
city 1
civilization 1
come 2
conservative 1
containing 1
corridor 2
cultural 1
current 1
cylindrical 1
date 1
death 5
descendants 1
descendents 1
destroyed 1
determine 1
differing 1
discovery 1
divided 1
down 1
during 1
earth 2
elongated 1
embrace 1
encounter 1
end 1
energy 1
events 2
exacerbated 1
exception 1
expedition 1
explorers 1
extends 1
fact 1
far 1
final 1
followers 2
for 2
forever 1
from 5
future 3
futuristic 1
general 1
geshels 3
go 2
good 1
governing 1
gravity 1
groups 1
hand 1
has 1
hastily 1
have 1
he 1
her 1
hexamon 2
high 1
his 1
hollowed 1
homorphic 1
human 5
humanity 1
humans 2
identical 2
if 1
immediately 1
imminent 1
in 8
including 1
information 1
inside 1
into 2
involving 1
is 10
it 4
its 2
itself 2
juno 1
kilometers 1
known 1
large 2
largely 1
larger 1
led 1
libraries 3
life 1
limited 1
live 1
long 1
looking 1
loosely 1
luisa 1
main 1
make 1
man 1
manner 1
many 1
martyred 1
may 2
million 1
moderate 1
more 1
much 1
mysteries 1
mysteriously 1
nader 2
naderites 2
name 1
nave 1
nearly 1
neomorphic 1
nexus 1
no 1
nonhuman 1
not 1
now 1
nuclear 2
occurring 1
of 14
on 8
one 1
ones 1
only 2
opposed 2
or 3
other 1
out 2
outside 1
over 1
own 1
particularly 1
patricia 2
physicist 1
political 1
present 1
presided 1
prior 2
prolate 1
provide 1
radical 1
ralph 1
reason 1
record 2
recorded 3
reject 1
rising 1
rotates 1
rumors 1
scientists 1
second 1
seem 1
sent 2
seven 1
seventh 1
shapes 1
simpler 1
since 1
situation 1
so 1
social 1
society 2
soviets 1
spheroid 1
startling 1
stone 9
strange 1
structure 1
subdivided 1
such 1
suggest 1
technological 1
technology 2
tensions 1
terraformed 1
than 2
that 5
the 59
their 3
themselves 1
theoretical 1
there 1
they 5
third 1
this 1
thistledown 1
time 2
timeline 1
to 17
took 1
trappings 1
travel 1
two 1
us 1
ussr 1
vasquez 1
vast 1
viewpoints 1
virtually 1
war 3
was 3
way 2
weapons 1
when 1
where 1
which 3
who 4
whom 1
widely 1
with 1
work 1
world 1
worse 1
years 1
young 1
