33918829
/m/0hnf6p_
/m/0hnf6p_
Jay Asher

16 1
a 1
about 1
all 1
almost 1
and 7
aol 1
are 2
as 2
at 1
automatically 1
awkward 1
been 4
best 1
bring 1
but 2
can 1
careers 1
cdrom 1
change 1
changed 1
computer 1
confront 1
discover 1
doing 1
downs 1
emma 4
ever 1
every 1
everything 1
facebook 2
family 1
fifteen 1
forced 1
free 1
friends 1
future 3
futures 1
gets 1
grapple 1
hasnt 1
have 2
her 1
him 1
his 1
homes 1
in 3
install 1
invented 1
it 3
josh 4
last 1
least 1
lives 1
logged 1
longat 1
looking 1
mail 1
makes 1
mom 1
neighbors 1
new 1
november 1
of 1
on 2
onto 1
over 1
pages 1
present 1
refresh 1
rightand 1
sign 1
since 1
so 1
spouses 1
status 1
that 1
the 5
their 5
themselves 1
themselvesfifteen 1
then 1
there 1
they 3
theyre 3
theyve 1
things 1
time 1
to 2
until 1
up 1
updatesit 1
ups 1
what 1
when 3
whole 1
with 1
wrongin 1
years 2
yet 1
