4305275
/m/0bw4jv
/m/0bw4jv
Robert Anthony Salvatore

{"/m/014dfn": "Speculative fiction"}
a 2
aballister 1
all 1
an 1
and 4
as 1
at 1
barjin 1
breathe 1
brewing 1
by 2
cadderly 1
castle 1
chaos 1
collecting 1
control 1
curse 2
druzil 1
edificant 1
evil 2
fellowship 1
fight 1
finds 1
goddess 1
has 1
he 2
hidden 1
him 1
his 1
imp 1
in 1
innocent 1
intelligent 1
it 3
library 2
lift 1
lose 1
lowranking 1
major 1
makes 1
memoryblocking 1
mountains 1
must 1
of 4
off 1
open 1
order 1
poison 1
potion 2
power 1
priest 2
reveals 1
save 1
selfcontrol 1
sent 1
sets 1
snowflake 1
spell 1
spent 1
stronghold 2
takes 1
talona 1
the 12
to 5
told 1
trinity 1
two 1
when 1
which 1
who 1
wizard 1
years 1
young 1
