14627745
/m/03gr4s9
/m/03gr4s9
Lorenzo Carcaterra
2001
16 1
a 3
an 2
and 1
angelo 2
as 1
back 1
bar 1
boss 1
boy 1
by 1
chance 1
choosing 1
comes 1
crime 1
deathbed 1
deep 1
depression 1
despite 1
empire 1
famed 1
for 2
from 1
gabe 4
he 1
him 1
his 4
hospital 1
immigrant 1
in 2
into 2
it 1
italian 1
keeps 1
learns 1
life 1
love 1
man 2
manhattan 1
mentor 1
middleaged 1
mob 1
most 1
narrative 1
normal 1
novel 1
now 1
of 3
old 2
on 1
opens 1
operation 1
organized 1
over 2
powerful 1
refuses 1
rise 1
rule 1
simple 1
slipping 1
take 1
takes 2
ten 1
the 9
time 2
to 4
tracks 1
under 1
underworld 1
ushers 1
vestieri 4
walks 1
watch 1
what 1
when 2
wing 1
with 1
world 1
year 1
yet 1
