9876181
/m/02pvmj8
/m/02pvmj8
Hisham Matar
2006-07-06
a 5
about 1
activities 1
and 5
anger 1
antigaddafi 1
anxiety 1
are 1
as 1
beautiful 1
best 1
between 1
book 2
boy 1
bring 1
bury 1
by 1
clandestine 1
description 1
drugs 1
eavesdroppings 1
father 2
follows 1
friend 1
gaddafi 2
gripping 1
has 1
he 1
her 1
his 2
in 2
kareem 1
libya 2
lives 1
living 1
moosa 1
mother 1
narration 1
neighbour 1
nineyearold 1
of 3
only 1
oppression 1
ordinary 1
people 2
plight 1
police 1
political 1
provides 1
regime 1
resorts 1
searches 1
stalkings 1
state 1
stuck 1
suleiman 1
survive 1
telephone 1
terror 1
the 5
they 1
to 5
tripoli 1
try 1
turn 1
under 1
various 1
vulnerable 1
who 1
whose 1
young 1
