3485805
/m/09g17q
/m/09g17q
Kenneth Bulmer
1967
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction"}
a 4
after 1
all 1
an 1
ancient 1
and 2
are 2
average 1
away 1
begins 1
but 2
caught 1
citizens 1
civilization 1
cost 1
destroyed 1
earth 1
ended 1
ends 1
even 1
five 1
future 1
giving 1
guns 1
her 1
horror 1
in 3
it 1
khamushkei 1
know 1
life 1
locked 1
marching 1
millennia 1
near 1
novel 1
of 3
on 1
one 1
out 1
over 1
race 1
ray 1
reseal 1
robots 1
seals 1
seven 1
space 1
the 4
them 1
they 1
though 1
time 2
to 1
undying 1
up 3
vault 2
vaults 1
way 1
will 1
world 1
