5667535
/m/0dz37f
/m/0dz37f
Glen Cook
1989-06
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/04n87l": "Dark fantasy", "/m/03qfd": "High fantasy"}
a 21
abducted 1
able 2
about 1
across 1
after 7
against 1
ago 1
along 2
although 2
an 1
and 21
annalist 1
annals 4
another 4
appearing 1
appears 1
approaches 1
are 7
area 1
armies 2
army 2
arrive 1
arriving 2
arrow 1
as 11
at 7
athletic 1
attack 4
attacking 1
attends 1
barge 2
barrowlands 1
battle 5
bearer 1
become 1
becomes 1
been 2
before 2
birthplace 1
black 5
blade 1
both 3
break 1
business 1
but 2
by 7
cahoots 1
called 2
capable 1
captain 1
castle 1
champions 1
chaotic 1
charm 1
chest 1
city 5
company 30
confronts 1
consummate 1
containing 1
continues 2
continuing 1
convince 1
convinced 1
cordy 1
couple 2
croaker 10
crown 1
day 1
days 2
dead 1
deal 1
dealing 1
deals 1
decided 1
decides 1
defeat 1
defend 2
dejagore 1
despondent 1
developing 1
disperse 1
disposes 1
dominator 1
down 1
drah 3
dramatic 1
during 1
easily 1
effort 1
elected 1
empire 1
encounter 1
encounters 1
enemy 4
ensuing 1
enter 1
escorting 1
evening 1
eventually 3
everyone 1
fact 1
favor 1
few 2
fight 2
fighting 1
final 1
finally 1
find 1
first 3
flee 1
following 3
follows 1
for 5
forced 2
forces 2
former 3
formerly 1
friend 2
from 5
geaxle 2
give 1
goblin 2
greeted 1
group 1
hagop 1
have 3
having 1
he 1
help 3
her 1
here 1
history 1
however 1
howler 1
in 8
insight 1
into 3
invading 2
is 16
it 4
join 3
joining 1
journey 4
jungles 1
just 1
khatovar 3
knocks 1
lady 9
last 1
later 1
leader 1
leave 1
led 1
like 1
location 1
long 2
looks 1
lost 3
mather 2
meets 3
melee 1
members 2
men 1
military 1
missing 1
mogaba 1
monumental 1
morning 1
mortality 1
much 1
murgen 1
names 1
nar 2
naturally 1
neardeath 1
new 1
newfound 1
newly 1
night 2
noble 1
north 1
northerners 1
nuisance 1
of 23
offspring 1
on 4
one 1
oneeye 3
only 1
opal 1
opponents 1
origin 1
otto 1
out 2
outfitting 1
over 1
perfection 1
physician 1
pirate 1
pirates 6
populace 1
powerful 4
prahbrindrah 2
prepares 3
presses 1
previous 1
previously 2
prince 1
radisha 1
reach 1
reaches 1
realizes 1
recover 1
recruited 1
recruits 1
relationship 2
relaxing 1
remaining 1
repose 1
return 1
returning 1
returns 1
river 1
romantic 1
routes 2
ruler 1
ruse 1
sail 1
scouting 1
sea 1
sets 1
several 2
shadowlands 3
shadowmaster 3
shadowmasters 4
shapeshifter 2
she 3
shifter 2
shot 1
side 1
six 1
so 1
soldier 2
soldiers 1
sorcerer 3
sorcerers 1
sorceress 1
soulcatcher 1
south 9
standard 1
still 1
stormbringer 1
stormguard 2
storms 1
surprises 1
suspicious 1
swamps 1
swan 2
swarmed 1
taglians 2
taglios 3
taken 4
tangled 1
temple 1
tenuous 1
that 5
the 112
their 6
them 4
themselves 1
then 1
they 9
thought 1
threaten 1
through 3
throughout 1
to 28
too 1
took 1
torments 1
tower 2
trade 1
train 1
travel 2
traveler 1
travels 1
trick 1
tries 1
try 1
trying 1
turn 1
turns 2
two 1
unconscious 1
upon 1
vengeance 1
vessel 1
veterans 1
victories 1
volumes 1
was 1
way 2
weakened 1
weeks 2
well 2
were 2
when 3
where 5
which 1
while 2
who 9
will 2
willow 1
win 1
wins 2
with 14
without 1
wizards 1
working 1
