11008024
/m/02qxy_1
/m/02qxy_1
Robert Muchamore
2008
345 1
a 15
able 1
about 4
accidental 1
across 1
acting 1
acts 1
admits 1
after 4
agents 1
aid 1
aircrash 1
all 5
among 1
an 2
and 29
another 1
antiseptic 1
any 1
are 6
area 1
armed 1
arrested 1
as 3
asif 2
asker 1
assigned 1
at 2
atlantic 1
attacks 2
attempt 1
attempts 1
attracted 1
audio 1
aware 1
be 2
because 1
becomes 1
bed 1
been 1
before 2
befriend 1
beginning 1
behind 1
being 1
bicycles 1
bikes 3
bin 3
black 2
blame 1
blow 1
book 1
bottom 1
boy 1
boyfriend 1
bravely 1
brother 1
brothers 1
buggie 1
but 8
by 1
called 2
calls 2
camcorder 1
can 1
chairman 2
chairwoman 1
chases 1
cherub 5
chicken 1
cleaning 1
cleared 1
club 1
constructing 1
controller 1
course 1
cover 1
coworker 1
crashed 1
crashes 1
damage 1
dana 3
dangerous 1
danny 4
daughterinlaw 1
day 1
dead 2
deaths 1
decides 1
decorating 1
deluxe 1
devices 1
discover 1
discovered 1
discovers 2
ditch 1
done 1
dr 2
due 1
eager 1
engined 1
even 1
every 1
exercise 1
experience 2
eye 1
eyes 1
fahim 6
faithful 1
family 1
father 3
faults 1
faulty 1
fear 1
feels 1
fights 1
find 1
flee 1
former 3
free 1
from 2
gag 1
gags 1
gemma 4
gets 1
girlfriend 1
gives 1
go 1
goggles 2
golf 2
good 1
grandchildren 1
guilty 1
hair 1
handcuffs 1
has 2
hassam 10
have 3
he 9
her 6
hides 1
him 10
his 11
hostage 1
hotline 1
hours 1
house 1
how 1
if 1
in 6
information 1
instead 1
instructor 1
into 1
investigation 1
invited 1
is 12
it 8
jake 3
james 14
kazkov 1
kerry 7
killed 1
kneecap 1
knife 1
lady 1
lake 1
laps 1
last 1
later 1
lauren 4
leave 1
life 1
live 1
loud 1
mac 2
made 1
make 1
making 1
mcafferty 2
meanwhile 1
meets 1
might 1
mission 2
missions 1
more 1
motorcylcled 1
named 1
next 1
night 1
nightvision 2
not 1
of 13
on 4
one 2
or 1
out 4
outside 2
over 2
own 1
painful 1
parts 1
passengers 1
people 1
plane 3
plants 1
police 1
prevent 1
prison 2
probably 1
pulls 2
punishment 1
pushing 1
quad 3
raced 1
realises 1
red 1
rejects 1
relay 1
rescue 1
response 1
restaurant 1
revealed 1
row 1
rubber 1
rushes 1
saves 1
send 1
sent 3
sentences 1
service 1
she 3
shirts 2
shoot 1
shooting 1
shot 1
showed 1
shows 1
sleeping 1
sleepwalks 1
sold 1
some 1
son 1
start 2
states 1
status 1
steal 1
still 1
stinging 1
suddenly 1
tactical 1
taken 2
takes 2
talks 1
taunt 1
team 1
tells 1
terence 1
terrence 1
terrorism 1
that 3
the 28
their 2
them 1
then 1
they 3
things 2
thinks 1
this 1
threaten 1
throat 1
throws 1
time 2
to 24
told 1
too 1
tortures 1
training 1
trouble 1
troubled 1
truth 1
trying 1
two 1
uneven 1
up 1
used 1
uses 1
using 1
wants 1
was 6
ways 1
were 2
when 3
which 3
while 1
white 1
who 1
wife 1
will 2
with 8
work 2
would 1
zara 3
