5661139
/m/0dysyy
/m/0dysyy
Kouhei Kadono

{"/m/014dfn": "Speculative fiction"}
a 23
about 5
academy 3
according 1
actions 2
addicted 1
advice 1
after 4
all 1
also 1
an 2
and 21
anger 1
anou 10
apparent 1
apparition 2
appears 1
approached 1
april 1
are 1
arrive 1
arrives 1
as 8
asks 2
asukai 10
at 10
attack 1
attitude 1
aya 2
back 1
be 1
because 1
become 1
been 2
before 4
begins 1
behalf 1
behaviour 1
being 2
between 1
boogiepop 9
book 1
both 1
boy 1
boys 1
break 1
brushes 1
buds 1
but 10
by 8
calling 1
calls 1
came 1
camille 1
can 1
capture 1
chance 1
change 1
chests 2
claimed 1
claims 1
clockwork 1
committee 1
confused 1
control 2
convinced 1
cost 1
counsel 1
cram 1
criminals 1
cry 1
day 3
decided 1
defeat 1
defeats 1
department 1
described 1
despite 1
develops 1
did 1
died 1
directs 1
disgust 1
displinary 1
do 1
down 1
draw 1
dressed 1
drugs 1
due 1
dying 1
e 9
ear 2
earlier 1
effort 1
encounter 1
ended 1
enemy 1
enjoy 1
enter 1
equally 1
erase 1
escapes 1
especially 1
eventually 1
everyone 1
exchanged 1
experience 1
explained 1
expression 1
face 1
failed 2
fails 1
fantasy 1
far 1
feelings 1
fell 1
finished 1
first 1
flaw 1
flowers 1
follow 1
following 1
for 4
former 1
found 3
freed 1
frees 1
friends 1
frivolous 1
from 11
future 1
gave 1
girl 6
girlfriend 1
girls 3
gives 1
go 1
goes 1
going 1
got 1
group 3
growing 1
had 9
hand 1
happy 1
hated 1
have 1
he 17
head 1
hearing 2
heart 2
hearts 1
help 1
her 10
herself 2
hiding 1
him 7
himself 3
his 13
hoping 1
however 1
human 1
identified 1
imaginator 6
immediately 1
important 1
in 12
incident 1
incredibly 1
initially 1
instead 1
instructed 1
instructs 1
into 3
is 6
it 4
japan 1
jin 3
just 1
karate 1
kazuko 1
kei 1
kill 1
killed 3
kinukawa 1
kirima 2
kotoe 1
large 1
last 1
leaps 1
learns 1
leaves 1
leaving 1
let 1
letter 3
life 2
light 1
like 2
lives 1
longer 1
look 1
looked 2
looking 1
love 3
lure 1
makes 1
man 4
masaki 2
meet 1
meeting 2
meets 1
men 1
met 1
microfilament 1
minahoshi 3
missing 2
miyashita 1
moved 1
moving 1
name 1
ndash 4
near 1
new 3
niitoki 2
no 4
none 1
normal 1
not 1
notice 1
occasionally 1
of 16
off 1
offered 1
office 1
often 1
on 2
one 3
opposed 1
orders 1
organisation 1
orientated 1
orihata 10
other 2
out 5
overpowered 1
part 1
parts 1
pass 1
pehn 1
people 2
phnom 1
phrase 2
pillar 1
place 2
plan 2
plant 2
plants 1
play 1
point 1
popular 1
possible 1
promised 1
protect 1
prove 1
puppet 1
questions 1
quickly 1
quotes 1
reached 1
real 2
reason 1
reassure 1
receives 1
recognized 1
relationship 2
relative 1
relaxed 1
remarkably 1
rendered 1
represents 1
rescue 1
rescuing 1
returns 1
reveal 1
right 2
roof 1
roots 1
rumours 2
save 2
saves 1
saw 3
school 4
second 1
see 1
seeking 1
seemed 1
seiichi 1
seiichiro 1
sent 1
shadows 1
she 11
shinigami 1
shinjirou 1
shinyo 3
shortly 1
significantly 1
similar 1
sketches 1
sketching 1
snows 1
so 2
some 1
something 2
sometimes 1
sought 1
speak 1
spooky 9
start 1
stepped 2
store 1
student 1
students 4
studying 1
such 1
suddenly 1
suema 7
suiko 3
synthetic 1
taniguchi 10
than 1
that 6
the 38
their 3
them 2
there 2
they 2
things 4
this 4
though 1
thought 1
threaten 1
thugs 2
to 35
touka 1
towa 1
towards 1
transferred 1
tried 1
tries 1
try 1
turns 1
two 3
unable 2
unconscious 1
unfortunately 1
unstable 1
up 6
used 1
uses 1
uttered 1
vision 1
vs 1
waiting 1
was 5
watches 2
way 1
were 4
when 4
where 1
which 1
while 1
whilst 2
who 5
why 1
wire 1
with 6
words 2
world 1
would 2
year 2
younger 1
