5759887
/m/0f34q_
/m/0f34q_
Herman Wouk
1951
10 1
184 1
2nd 1
a 60
abandoned 1
abandoning 1
aboard 3
about 1
absence 1
absent 1
according 1
accuses 1
acquittal 3
action 2
actiona 1
actions 3
admiral 4
admit 1
affluent 1
afloat 1
after 11
again 1
against 1
agrees 1
also 1
although 1
ambitions 1
america 1
amounts 1
an 12
and 38
another 1
any 1
apparent 2
apparently 1
appointed 1
are 1
area 2
army 1
as 17
ashamed 2
ask 2
aspired 1
assigned 1
assignment 1
at 7
attack 1
attacking 1
attempts 1
attention 1
attitude 1
attorney 1
attributes 1
author 1
authority 2
aviator 1
avoid 1
back 2
backs 1
bandleader 1
bar 1
barely 1
barney 1
based 1
battle 1
bayonne 1
be 9
beautiful 1
because 3
becomes 2
been 4
before 2
begins 1
behavior 3
being 4
believes 1
believing 1
beneath 1
blackmails 1
blames 1
blaming 1
blonde 1
book 1
both 2
breach 1
bridge 1
bring 1
bringing 1
brings 2
brother 1
browbeats 1
budding 1
but 5
by 14
bythebook 1
cabin 1
caine 17
callow 1
campaign 1
can 1
captain 7
career 4
careless 1
carried 1
case 1
catch 1
catchall 1
caught 1
causes 2
celebrating 1
chafed 1
challenge 1
character 1
charge 1
charged 1
charges 1
circle 1
circumstances 1
civilian 1
claims 1
clash 1
class 3
clemson 1
close 1
cobra 1
cold 1
combat 3
come 1
comic 1
command 3
commander 2
commanding 2
commendation 1
commissioned 1
communications 2
condition 1
conduct 1
confines 1
conflicts 1
confused 1
considers 1
converted 1
convict 1
convinces 1
could 1
courtmartial 3
courtmartials 1
cover 1
coward 3
cowardice 1
cowardly 3
crack 1
craft 2
crash 1
crew 6
crossexamines 1
cuts 1
cutting 1
damage 1
daughter 1
days 2
de 4
decaying 1
decides 4
decision 3
deck 1
decode 1
decommissioning 1
demerits 1
departing 1
departure 1
depot 1
describes 1
despite 1
destroyed 1
destroyer 2
destroyers 1
developed 1
diagnosing 1
did 1
died 1
disapproves 1
disciplinary 1
discipline 2
discovers 2
disgust 1
displays 1
distances 1
distracted 1
domineering 1
double 1
down 1
drafted 1
dropping 1
drops 1
ducks 1
dump 1
during 5
duties 2
duty 2
dye 2
early 1
earn 1
easy 1
eccentric 1
effort 1
else 1
end 1
ends 2
endures 1
ensign 1
entendre 1
entire 1
episode 1
equator 1
errors 1
escort 1
europe 1
even 1
event 1
eventually 1
executive 2
expert 1
extraordinary 1
eyes 1
f 1
face 1
faces 1
father 1
fears 1
feels 1
feet 1
fend 1
figure 1
findings 1
fire 3
first 4
fleet 2
flipping 1
following 2
for 18
forfeiture 1
forgets 2
former 1
found 1
francis 1
francisco 1
from 7
frozen 1
full 1
further 2
future 1
gallon 1
gathering 2
gets 1
girlfriend 1
glass 1
good 1
great 2
greenwald 9
grounded 1
grounds 2
guarding 1
guilt 1
gunner 1
gunnery 1
had 6
halsey 1
handle 1
handled 1
happening 1
has 13
hatred 1
have 3
having 1
he 36
headaches 1
height 1
helmsman 1
her 4
heroic 1
higher 1
highest 1
him 6
himself 2
his 28
history 1
hitler 1
home 1
hope 1
house 1
however 1
humiliating 1
humiliation 1
iera 1
if 1
ii 1
ill 1
illness 2
immediately 1
immigrants 1
implication 1
in 27
inability 1
incidents 1
incompetent 1
infantry 1
initially 1
injured 1
inner 1
instead 2
intellectual 1
into 5
intoxicated 1
introduces 1
invasion 1
iowa 1
ironically 2
is 28
it 10
italian 1
its 5
jersey 1
jewish 1
jews 1
john 1
just 2
kamikaze 3
kamikazeand 1
keefer 15
keeps 2
keith 3
kwajalein 1
lackadaisical 1
landing 2
last 3
later 1
lead 1
leave 3
leaves 4
legally 1
length 1
letter 3
letters 1
liberties 1
lieutenant 5
life 2
like 3
line 1
liquor 2
log 1
longtime 1
loose 1
loses 1
loss 3
lost 1
low 1
lower 1
lowlying 1
magazine 1
make 1
makes 1
making 1
man 2
marie 1
marine 1
mark 1
marker 2
marry 1
maryk 15
mate 1
matured 1
may 3
medal 1
medical 1
melanoma 1
melted 1
menial 1
mental 2
mentally 1
merit 1
message 1
midshipman 1
might 1
migraine 1
mind 2
minesweeper 1
minotti 1
misadventures 1
misses 1
missing 1
mission 1
missions 2
mistakes 2
months 1
moral 1
most 1
mother 2
must 1
mutiny 3
name 1
naval 4
navy 8
near 1
necessary 1
needs 1
never 1
new 1
nightclub 1
no 2
not 5
notice 1
noticing 1
novel 2
novelist 2
now 3
number 1
obscure 1
obsessed 1
obsolete 1
of 59
off 2
officer 6
officers 3
okinawa 1
old 2
on 8
once 2
one 1
opinion 2
oppressive 1
ordeal 1
order 3
ordered 1
orders 1
other 1
out 3
over 4
overcome 2
overhaul 1
overturned 1
own 1
panics 1
paralysis 1
paranoid 1
part 2
parties 1
party 1
path 1
paying 1
peacetime 1
people 2
petty 1
philip 1
piano 1
plane 1
plants 1
play 1
points 1
popular 1
port 1
portrayed 1
pouting 1
prejudice 1
prevent 1
probably 1
protection 2
psychiatrists 1
publisher 1
punishment 1
quart 1
queeg 26
rarely 1
rather 1
rations 1
reading 1
real 1
realizes 1
reasons 1
received 2
receives 1
redhaired 1
refers 2
reflecting 1
regarded 1
regular 2
regulations 2
reign 1
relationship 1
relief 1
relieve 2
relieved 2
relieving 2
reliving 1
reluctantly 1
remains 1
repetitive 1
replying 1
reports 1
represent 1
reprimand 1
rescues 1
resolves 1
respect 1
restored 1
results 1
returns 1
review 1
rigging 1
roland 1
roughnecked 1
round 1
rusty 1
sailing 1
sailor 1
san 1
sane 1
saved 2
saw 1
says 1
scene 1
school 2
seamanship 1
second 1
secret 1
section 1
seen 1
sees 1
selling 2
sent 3
sentence 1
series 4
serves 1
severe 1
seward 1
she 1
shine 1
ship 11
shipboard 1
ships 2
shirttailand 1
shore 2
shown 1
shows 2
signs 1
similar 1
singer 1
sinks 1
situation 2
six 2
slackness 1
sled 1
sleeping 1
slovenly 1
smuggles 1
snub 1
soap 1
sobriquet 1
social 1
solved 1
someplace 1
soon 5
spot 1
stand 1
standing 1
states 1
steaming 1
steers 1
stephen 1
still 1
stillwell 5
storm 1
story 1
strawberries 1
stress 1
strong 1
struck 1
subordinate 1
succeeding 1
success 1
successfully 1
suffer 1
suggestion 1
supply 1
support 1
supports 2
surviving 1
sympathetic 1
tactic 1
take 1
taken 1
target 2
tells 2
tensions 1
term 1
terrible 1
than 1
that 14
the 112
theft 2
their 2
them 1
themselves 1
then 3
thereby 1
they 1
third 1
this 3
thomas 1
though 2
thought 1
thoughts 1
threatening 1
three 3
through 3
throws 1
timely 1
to 53
told 1
too 1
torpedo 1
toward 1
towline 1
transferred 2
trial 1
trialthat 1
tribulations 1
tried 1
troops 1
troubleshooter 1
true 1
twice 1
typhoon 2
tyrannical 1
ultimately 2
under 6
united 1
unjustified 2
unlawfully 1
unnecessary 1
unrelentingly 1
until 1
unwilling 1
unworthy 1
up 5
usage 1
using 1
uss 2
vriess 4
war 4
warning 1
warship 1
was 7
watch 1
water 2
ways 1
went 1
what 3
when 7
which 9
while 6
who 10
whom 1
whose 1
will 4
william 2
willie 21
willis 1
wine 1
with 11
withhold 1
without 2
woman 1
world 2
would 1
writer 1
wrong 1
wynn 1
yellow 2
yellowstain 2
young 1
