43023
/m/0btc7
/m/0btc7
Jonathan Swift
1726
{"/m/06n90": "Science Fiction", "/m/06nbt": "Satire", "/m/01hmnh": "Fantasy", "/m/014dfn": "Speculative fiction"}
112 1
121 1
13 1
16 2
1702 2
1706 2
1710 2
1715 1
2 1
20 1
3 1
4 1
5 1
6 1
7 1
a 44
abandoned 3
about 2
academy 1
accounts 1
across 1
add 1
additions 1
admire 1
adventure 1
adventures 1
aerial 1
after 5
afterwards 1
against 2
age 2
also 2
although 1
among 1
an 2
ancients 1
and 43
anglican 1
antipathy 1
april 2
are 7
around 2
arts 1
as 13
ashore 1
asks 1
assembly 1
assistance 1
assists 1
assurances 1
at 5
attacked 1
attacking 1
august 1
avoiding 1
await 1
back 1
balnibarbi 1
barrenness 1
base 1
be 5
becomes 3
beds 1
before 1
begins 1
behaviour 1
being 3
beings 1
believes 1
between 1
blefuscu 2
blefuscudians 1
blind 1
blinded 1
blown 1
boat 2
bombardment 1
book 7
books 1
bored 1
both 1
box 3
brief 1
brings 1
brobdingnag 2
brought 2
built 1
bureaucracy 1
but 4
buys 1
by 14
call 1
called 1
can 2
cannons 1
capital 1
captain 2
cares 1
carried 2
ceremony 1
chairs 1
charged 1
cities 1
city 1
civilization 1
clearly 1
close 1
coarse 1
come 1
comes 2
commissions 1
companions 1
compared 1
compares 1
comparisons 1
completely 1
conceived 1
conceives 1
condition 1
considered 1
conspiracies 1
contained 1
continue 1
convicted 1
countless 1
country 1
countrymen 1
course 1
court 4
courteous 1
courtier 1
creatures 2
crew 3
crimes 1
crucifix 1
cucumbers 1
curiosity 1
custom 1
danger 1
daughter 1
day 1
days 1
de 1
dead 1
deformed 2
deism 1
depravity 1
describe 1
desolate 1
despite 1
determined 1
devoted 1
devotion 1
discusses 2
displeasing 1
do 1
down 1
downfall 1
drops 1
during 1
dwelling 1
eagle 1
earlier 1
eighty 1
emotional 1
emperor 2
employed 1
employment 1
emulate 1
encounters 1
endowed 1
ends 1
england 2
enjoys 1
escapes 1
especially 1
estimating 1
eternal 1
europe 2
even 1
exacerbate 1
examining 1
excrement 1
excuse 1
exhibits 1
expels 1
experiments 1
extracting 1
family 1
farmer 2
favourite 2
fellow 1
fighting 1
figures 1
find 1
finds 1
fire 1
first 3
fleet 1
flying 1
follows 1
for 12
forced 2
forks 1
form 1
fortunately 1
found 1
fresh 1
friend 1
from 3
gave 1
generous 1
gets 1
ghosts 1
giant 2
gift 1
given 2
gives 1
giving 1
glubbdubdrib 1
good 1
grand 1
grants 1
great 1
ground 1
guest 1
gulliver 25
guns 1
happy 1
harm 1
have 2
he 25
hideous 1
him 11
himself 2
his 22
historical 1
history 2
holy 1
home 5
horse 1
horses 2
hours 1
house 2
household 1
houyhnhms 1
houyhnhnms 3
how 1
however 2
huge 1
human 2
humanoid 1
humans 1
immortal 1
imposed 1
in 18
inches 1
india 1
infirmities 1
inhabitants 1
intention 1
into 1
is 31
island 5
it 2
its 1
japan 2
judging 1
july 1
june 2
keeping 1
keeps 1
kind 1
king 3
kingdom 1
knives 1
la 1
lagado 1
land 2
landing 1
language 1
laputa 3
largely 1
last 1
latter 1
learning 2
leave 1
legally 1
lemuel 1
less 1
lesser 1
life 1
lifestyle 1
likely 1
lilliput 5
lilliputians 1
livesamong 1
living 1
love 1
loves 1
lowranking 1
luggnagg 1
magician 1
maintained 1
make 1
making 1
man 3
manpower 1
marble 1
marooned 1
mathematics 1
may 1
means 1
meets 1
member 1
mendez 1
merchantman 1
merely 1
metaphors 1
method 1
mix 1
moderns 1
money 1
monkey 1
moral 1
most 1
movement 1
muckraking 1
music 1
mutiny 1
my 2
nation 1
nature 3
near 1
neighbours 1
new 1
not 4
observations 1
obvious 1
of 51
off 1
old 1
on 10
one 1
only 2
orders 1
other 1
out 3
outline 1
paint 1
passage 1
passing 1
pedro 1
people 1
perfected 1
perfection 1
performing 1
permission 1
person 1
persons 1
picked 1
piece 1
pillows 1
pirates 2
political 2
portuguese 1
practical 2
preamble 1
preposterous 1
prisoner 1
province 1
pursuit 1
put 1
puta 1
putting 1
queen 2
race 3
reaching 1
reason 4
rebellious 1
recluse 1
reconcile 1
reduce 1
referred 1
refuses 1
rejecting 1
remaining 2
representative 1
rescued 3
researching 1
residence 1
resolve 1
