12168277
/m/02vs409
/m/02vs409
Vera Caspary

1868 1
a 3
about 1
advertiser 2
alive 1
all 1
alternating 1
an 2
and 3
apartment 1
apparent 1
around 1
as 2
assigned 1
autobiographical 1
balance 1
be 1
becomes 1
begins 2
blast 1
by 1
career 1
carpenter 1
case 1
caspary 1
character 1
characters 1
closest 1
collins 1
detective 2
doorway 1
earned 1
elements 1
face 1
fall 1
fiance 1
first 1
former 1
groundbreaking 1
has 1
he 1
her 6
however 1
in 3
independent 1
individual 1
investigating 1
is 1
killed 1
laura 5
learns 1
like 2
living 1
love 1
lover 1
lydecker 1
macpherson 1
mark 2
memory 1
men 2
middleaged 1
moonstone 1
more 1
most 1
much 1
murder 1
named 1
narcissistic 1
narrated 1
ndash 2
new 1
not 1
novel 2
obliterated 1
of 3
out 1
person 1
philandering 1
prime 1
revolve 1
romance 1
sentimental 1
several 1
she 1
shelby 1
shotgun 1
some 1
stories 1
struggled 1
successful 1
suspect 1
that 1
the 11
these 1
title 1
to 5
turns 1
two 1
very 1
waldo 1
was 1
were 1
when 1
who 3
wilkie 1
with 2
woman 1
writer 1
york 1
