1373524
/m/04xm_3
/m/04xm_3
David Weber
1993
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/01smf2": "Military science fiction"}
a 18
accepts 1
adding 1
admiral 5
advance 1
advanced 1
advisors 1
after 7
against 1
ago 1
alliance 2
allow 2
allowing 1
already 1
an 6
and 29
antipiracy 1
any 1
apollo 1
apostate 1
appoints 1
apprised 1
approaches 1
are 6
armed 1
arrive 2
as 3
assassination 1
assault 1
at 2
attack 3
attacked 1
attacking 1
attacks 1
attempted 1
attitude 1
base 3
basilisk 1
battle 2
battlecruiser 1
battles 2
be 2
begin 1
begins 1
benjamin 3
bernard 1
best 1
bid 1
both 1
bought 2
brutal 1
built 1
but 1
by 7
called 1
campaign 1
captain 2
captured 2
centuries 1
chasing 1
choice 1
civil 1
close 2
coercing 1
commander 2
confederacy 1
confusing 1
conquer 1
conservative 1
considered 1
control 1
convince 1
convoy 1
countess 1
courvosier 6
craft 1
creating 1
critical 2
cruiser 2
cultural 1
cut 1
damage 2
damages 1
death 1
decorates 1
defect 1
defense 1
despite 1
destroyer 2
destroys 1
devastates 1
die 1
differences 1
diplomatic 2
dispatches 1
district 1
do 1
doomed 1
during 2
each 2
effort 1
ends 1
enemies 1
enemy 1
enter 1
entering 1
escort 1
even 1
events 1
everything 1
explanation 1
extremist 1
faction 1
faithful 1
family 2
fanatics 1
far 1
fearless 5
fight 1
final 1
find 2
finding 2
firepower 1
first 1
flank 1
fleet 8
following 1
follows 1
for 5
form 1
found 1
founded 1
four 1
freighters 1
friend 1
from 6
fundamentalist 1
get 1
god 2
government 2
governor 1
grayson 26
graysons 4
greeted 1
group 1
hands 1
harrington 2
has 3
haven 3
havenite 6
heavy 1
her 9
his 2
historical 1
hms 1
honor 15
however 3
idea 1
if 1
in 8
including 1
inflict 1
inflicted 1
information 1
intentions 1
intolerable 1
invasion 1
is 15
it 1
its 1
ix 1
join 1
joint 1
kingdom 2
last 1
launch 1
lead 1
leader 1
leading 2
leaves 2
led 1
left 1
light 2
little 1
located 1
long 2
longawaited 1
looming 1
loyal 1
luddites 1
madrigal 2
make 1
manticoran 7
manticorans 4
manticore 2
manticoregrayson 1
many 2
marines 1
masada 11
masadan 9
masadans 4
masquerading 1
mayhew 2
meets 1
mentor 1
merely 1
mission 2
more 1
most 2
nations 1
navy 2
nearly 1
negotiating 1
new 2
not 1
nothing 1
notion 1
novel 1
nuclear 1
numerically 1
occupies 1
of 23
offer 1
officer 1
officers 1
on 7
one 1
orbit 1
orders 1
other 2
out 3
outdated 1
own 1
perhaps 1
personal 1
planet 2
planned 1
possible 1
powerful 2
prepares 1
pressure 1
protector 2
pull 1
quick 1
raoul 1
raping 1
reclaim 1
recovers 1
refit 1
reforms 1
reinforcements 2
religious 1
religiously 1
remnants 1
return 1
returns 1
rival 1
rivalry 1
role 1
rub 1
saves 1
secured 1
see 1
seize 1
sent 1
seriously 1
settled 1
sexism 1
shattered 1
ship 4
ships 5
shoots 1
short 2
silesian 1
situation 1
skills 1
small 3
so 1
social 1
soured 1
space 1
speed 1
squadron 1
star 5
station 1
stations 1
steadholder 1
strongarms 1
superior 2
supporting 1
surviving 1
survivors 3
sustained 1
system 5
tactical 1
take 1
tells 1
terminate 1
than 1
that 4
the 72
their 4
them 2
theocracy 1
there 1
they 3
this 2
though 1
threatened 1
three 2
through 1
throughout 1
thunder 2
to 27
torturing 2
traitors 2
treatment 1
tries 1
troubadour 2
try 1
two 2
uniform 2
up 1
upon 1
vowing 1
war 2
warships 3
way 2
we 1
weapons 1
welcome 1
when 2
where 1
which 2
while 1
whom 1
with 14
within 1
woman 1
women 1
work 2
working 1
worlds 1
would 1
wounds 1
wrong 1
yanakov 3
years 1
yeltsin 1
