31075114
/m/0gg8xnc
/m/0gg8xnc
Hisham Matar
2011-03-03
{"/m/05hgj": "Novel"}
a 1
abducted 1
after 1
also 1
and 1
becomes 1
book 1
britain 1
by 1
cairo 1
circumstances 1
come 1
country 1
death 1
disappearance 1
disappears 1
egypt 1
elalfi 1
exile 1
family 1
father 2
follows 1
he 3
his 4
in 7
is 1
it 1
kamal 1
living 2
london 1
loses 1
mother 1
mysterious 1
nuri 2
obvious 1
of 4
pasha 1
regime 1
story 1
sudden 1
switzerland 1
teenager 1
terms 1
that 1
the 6
their 1
to 2
tries 1
was 1
while 1
who 1
with 2
young 1
