8189277
/m/026vn1l
/m/026vn1l
John Banville
1989
a 7
abroad 1
after 1
ancestral 1
and 3
angloirish 1
arrest 1
arrested 1
as 1
attempts 1
been 1
before 1
being 1
big 1
but 1
casting 1
charlie 1
collection 1
culminating 1
cultured 1
death 1
discover 1
doubt 1
ends 1
events 2
falling 1
family 2
feelings 1
first 1
for 3
foul 1
freddie 5
friend 1
gangster 1
girl 2
has 4
he 2
hides 1
his 4
home 1
house 1
houses 1
in 5
influence 1
interrogated 1
ireland 1
is 1
jail 1
killing 1
leading 1
leads 1
lifestory 1
living 1
louche 1
maid 1
man 1
many 1
mediterranean 1
money 1
montgomery 1
mother 1
murder 1
narrator 1
novel 1
of 10
old 1
on 2
one 1
out 1
painting 1
paintings 1
recounted 1
recounts 1
recover 1
remorse 1
returns 1
run 1
scientist 1
seeking 1
series 1
servant 1
shocked 1
sits 1
sold 1
some 1
stealing 1
tells 1
that 1
the 11
them 1
this 1
to 5
tragic 1
truth 1
unreliable 1
up 1
what 1
while 2
who 2
years 1
