3246609
/m/0910t1
/m/0910t1
Tim Winton
2001
a 3
an 1
and 4
area 1
attempting 1
becomes 2
between 1
book 2
bruised 1
buckridge 1
can 1
confrontation 1
contrives 1
control 1
cover 1
decamps 1
denouement 1
disillusioned 1
emotionally 1
environment 1
escape 1
farthest 1
fascinated 1
fish 1
fisherman 1
for 1
fragile 1
georgie 1
give 1
gripping 1
he 1
her 1
heroine 1
hide 1
his 2
hostile 1
impossible 1
in 3
its 1
jim 2
knowing 1
legend 1
literally 1
local 1
long 1
maintain 1
meeting 1
must 1
nobody 1
of 2
out 1
outback 1
passion 1
people 1
quickly 1
relationship 1
revenge 1
runs 1
secret 1
secrets 1
she 1
smuggle 1
smuggler 1
soon 1
stranger 2
struggles 1
subsequent 1
survive 1
that 1
the 8
this 1
to 6
tracks 1
try 1
two 1
very 1
wants 1
watching 1
where 1
whilst 1
with 3
