4112471
/m/0bjs1p
/m/0bjs1p
Naguib Mahfouz
1965
{"/m/0l67h": "Novella"}
a 13
able 1
after 1
again 4
age 1
all 3
also 1
although 1
an 3
and 17
as 6
at 3
attempt 1
avail 1
back 2
backbone 1
be 4
because 1
become 2
becomes 1
been 4
book 1
both 2
bourgeois 1
brought 1
but 6
by 3
cairo 1
called 3
calm 1
can 1
catch 1
caught 1
character 1
christian 1
club 1
comrade 1
condition 1
connections 1
connects 1
contact 1
converted 1
countryside 1
cure 1
dancer 1
dawn 1
day 1
delirium 1
desert 1
desires 1
despite 1
diet 2
difference 1
disconcerted 1
distant 1
doctor 2
effectively 1
egypt 1
escape 1
escapes 1
escaping 1
excitement 1
exercise 1
fa 1
failed 1
fails 1
falls 1
family 1
feeling 1
feels 5
felt 1
find 2
first 2
for 1
foreign 1
fortyfive 1
fouad 1
friends 1
from 4
gave 1
gets 1
given 2
goes 3
going 1
got 1
grows 1
had 2
hadnt 1
half 1
has 8
having 1
he 33
her 7
him 12
himself 2
his 16
home 2
house 1
however 1
hung 1
if 1
ill 1
illness 3
illusion 1
in 12
including 1
initially 1
into 1
involved 1
is 12
islam 1
it 1
job 1
joy 1
just 1
kamelia 1
khalil 1
lawyer 1
leaves 1
life 4
lift 1
light 1
live 1
long 1
longer 1
lost 1
love 4
lover 1
main 1
make 1
makes 1
malady 1
margaret 2
marry 1
meaning 1
meets 1
met 1
momentary 1
more 1
moves 1
near 1
never 2
new 1
no 3
nothing 1
now 1
of 11
off 1
office 1
omar 9
omars 1
on 1
one 3
only 1
onto 1
opens 1
order 2
oriental 1
orthodoxies 1
othman 5
out 5
pass 1
peace 2
physically 1
poet 1
poetry 1
police 3
politics 1
pregnant 1
prison 1
promised 1
prostitutes 1
proved 1
pull 1
pyramids 2
quits 1
reached 1
regain 1
regular 1
released 1
returning 1
returns 1
role 1
sceptic 1
seems 1
sees 1
set 1
she 5
shot 1
sick 1
sickness 1
singer 1
slips 1
socialist 3
soon 1
still 1
succession 1
suffocated 1
supporting 1
suspicious 1
takes 1
tells 2
that 4
the 19
their 1
then 2
there 2
they 1
thinks 1
this 2
though 1
through 2
to 22
together 3
told 1
took 1
tortured 1
tries 2
trying 1
turns 2
unexpectedly 1
up 6
vacation 1
visit 1
warda 2
was 3
when 2
which 1
who 5
wife 1
win 1
with 9
women 1
wont 1
working 1
world 1
would 1
wounded 1
writing 1
wrong 1
year 1
youth 4
zeinab 2
