4923328
/m/0cvd9t
/m/0cvd9t
Dean Koontz
2006
{"/m/01jfsb": "Thriller", "/m/02n4kr": "Mystery"}
14 2
32nd 1
600 1
a 29
abduction 1
able 4
about 2
across 1
acted 1
additional 1
adult 1
advantage 1
after 6
again 2
against 2
agent 1
agrees 1
all 2
alone 1
also 5
although 1
amount 1
an 6
and 49
ankle 2
another 1
anson 20
ansons 1
any 1
anyone 1
anything 1
appeared 1
appearing 1
are 3
arrested 1
arrive 1
arrived 1
arrives 2
arriving 2
as 8
asks 1
at 10
attic 1
available 1
aware 2
away 3
back 2
barrow 1
be 11
bearer 1
because 2
become 1
becomes 2
been 3
before 2
behind 2
being 2
belief 1
believe 2
believes 3
birthday 1
blood 1
bonds 1
book 1
booming 1
breaks 1
briefly 1
brother 3
bulletproof 1
business 2
but 4
buying 1
by 8
call 3
caller 2
calls 1
campbell 3
can 4
cannot 2
captive 1
captor 1
captors 1
car 1
career 1
cash 2
caught 1
cell 1
chair 1
chamber 1
chased 1
chases 1
chest 1
child 1
childhood 1
children 2
city 1
claiming 2
claims 1
close 1
closet 1
clothes 1
college 1
combination 1
come 1
comes 2
company 1
concealed 1
conceals 1
confesses 1
confirms 1
confronts 2
construction 1
conversation 1
cope 1
corpse 1
could 3
criminal 1
criminals 1
crushes 1
currently 1
dark 2
dead 1
death 1
decides 1
decision 1
decorations 1
delight 1
demands 1
deprivation 1
detective 4
device 1
devotion 1
die 1
different 1
difficult 1
dirty 1
disappointed 1
disarm 1
discovery 1
disgusted 1
dismisses 1
disobey 1
disposed 1
distract 1
distraction 1
do 1
does 3
doesnt 1
dog 1
dogs 1
dollar 1
dollars 2
downloads 1
drives 1
drop 1
dubious 1
due 1
during 3
each 1
earlier 3
ease 1
easy 1
effectively 1
else 1
encounter 1
end 1
ends 1
enemy 1
enormous 1
enough 1
enterprise 1
entertainment 1
epilogue 1
equipment 1
estate 1
evening 2
events 2
eventually 3
evidence 1
executioners 2
exfbi 1
explaining 1
fact 1
fall 1
family 1
father 1
fbi 2
final 1
finally 2
financially 1
find 1
finds 5
firing 1
first 1
fleeing 1
floorboards 1
focus 1
foot 1
for 9
forgotten 1
free 1
friend 2
from 10
further 1
garage 2
gas 1
get 2
gets 1
give 2
gives 2
goes 1
going 1
good 1
great 1
grown 1
gun 6
gunman 3
had 7
halloween 1
halted 1
handgun 1
harsh 1
has 11
have 9
he 34
head 2
hearing 1
held 1
help 1
helped 1
henchmen 1
her 3
hightech 1
him 15
himself 2
his 35
holding 1
holly 22
holster 2
home 2
house 6
how 3
however 1
huge 1
ideas 1
identified 1
if 5
illegal 1
in 19
inadvertently 1
includes 1
inconsistencies 1
indicating 1
individuals 1
industry 1
inform 1
information 1
informing 1
informs 4
initially 2
instead 1
instructed 2
instructions 1
intention 1
internet 1
inventing 1
is 28
it 3
itil 1
jason 2
jimmy 2
julian 7
just 1
keep 1
kidnapped 1
kidnapper 6
kidnappers 6
kidnapping 4
kill 3
killed 5
killers 1
kitchen 2
knocked 1
know 1
knowing 2
knows 1
lands 1
landscaping 1
last 1
later 1
laundry 3
learn 1
learned 2
learning 2
learns 2
leave 2
leaves 3
left 1
let 1
lies 1
life 1
like 2
listening 1
locate 1
look 2
loves 2
lug 2
made 1
make 1
man 1
manages 1
mans 1
mansion 1
many 1
marito 1
may 2
meant 1
meanwhile 1
meet 1
merely 1
mexico 1
might 1
migraine 1
million 5
mind 1
mistakenly 1
mitch 58
moment 1
money 5
mother 1
motorcycle 1
much 2
murder 2
murdered 1
nail 4
name 1
named 1
neck 1
never 1
new 1
news 1
next 1
no 1
not 8
novel 1
now 2
null 3
obtained 1
of 28
offered 1
offers 1
officially 1
on 12
one 3
or 1
orders 1
osteen 1
osteens 1
other 1
others 1
out 3
outside 1
over 2
own 1
owner 1
parents 9
pathetic 1
pay 1
phone 5
picked 1
place 1
plans 1
planted 1
plays 1
pm 1
point 1
points 1
police 5
