31741283
/m/0gtv5kv
/m/0gtv5kv
Roland Merullo


44year 1
a 36
about 1
accepted 1
accidentally 1
act 1
acts 1
actually 1
advanced 1
advice 1
advises 1
after 1
aggressive 1
agrees 1
aint 1
all 4
also 3
american 3
amidst 2
an 5
and 28
annoyed 1
another 1
answers 1
anthony 1
apologizes 1
are 2
as 5
asks 2
asleep 1
aspects 1
assigned 1
assures 1
at 6
attend 1
attractions 1
away 1
bad 2
bag 1
ball 1
baseball 1
be 4
because 1
bedford 1
been 2
beginning 2
being 1
believes 1
bend 1
beneath 1
best 2
boisterous 1
book 3
books 1
bowling 3
breakfast 1
buds 1
build 1
but 4
buys 2
by 8
called 1
calm 1
calming 1
calmly 1
candy 1
captivates 1
car 3
cause 1
cecilia 5
certain 1
chagrin 1
chicago 1
chocolate 1
city 1
close 1
compares 1
composure 1
confronted 1
conscience 1
contain 1
conversation 1
conversing 1
cool 1
crash 3
crust 1
culture 1
current 1
cursing 1
dakota 4
daughter 2
decide 1
decides 2
declares 1
different 1
dignity 1
dine 1
dining 1
dinner 1
direction 1
dirt 1
dirty 1
disguised 1
displeased 1
do 1
dog 1
doubled 1
down 2
drank 1
drive 1
driving 1
drops 1
due 1
duo 1
during 6
ear 1
earphones 1
editor 1
effect 1
encounter 1
entire 1
episode 1
estate 1
evaporated 1
even 1
evening 1
eventually 1
evil 1
excited 1
exclaims 1
expression 1
extent 1
factory 1
fails 1
falls 2
far 1
farmhouse 1
fascinated 2
fast 1
feels 1
field 1
filled 1
finds 1
first 3
flaky 1
food 1
foolishness 1
for 6
force 1
forgot 1
from 4
game 3
get 2
gets 2
give 1
given 1
glass 1
go 2
goes 1
good 3
greatest 2
group 3
groups 1
guru 1
habitual 1
had 1
hands 2
happy 1
has 6
have 3
he 15
heavy 1
heed 1
her 7
hershey 3
highway 1
him 7
himself 4
his 12
house 1
i 2
if 2
immediately 1
implores 1
improve 1
in 26
indiana 1
inn 4
instead 2
intent 1
interprets 1
irreverently 1
is 14
it 2
jasper 1
jeannie 1
jersey 1
just 2
killed 1
kisses 1
know 1
knowledge 1
lane 1
later 2
laughter 1
layer 1
learn 1
learns 2
leave 1
leaving 1
let 2
letter 1
life 1
light 1
like 2
lititz 1
lives 2
looks 1
magically 1
mainly 1
maintains 1
make 2
man 4
manhattan 1
manner 1
may 1
meant 1
meditation 1
men 2
might 1
mind 3
mirth 1
mocking 1
monk 1
mood 1
more 2
morning 4
motivates 1
mystic 1
named 5
narrated 1
natasha 1
necessary 1
needs 1
new 3
next 5
night 2
noise 1
north 4
not 3
notice 1
notices 1
nun 3
oberlin 1
of 17
off 2
ohio 3
old 1
on 6
once 1
one 5
onto 1
or 2
otto 30
outside 1
over 1
palm 1
parents 2
paterson 1
peaceful 1
pennsylvania 2
people 2
person 1
perverse 1
philosophical 1
photos 1
place 2
places 1
plans 1
play 1
pleasure 2
point 1
ponder 1
postponed 1
prayer 1
publishing 1
put 1
puts 1
question 1
questionandanswer 1
questioning 1
questions 1
quietly 1
quite 1
reaches 1
read 1
reader 1
ready 1
real 1
reality 1
realizes 1
reasons 1
reluctantly 1
remains 1
reminds 1
replies 1
requests 1
resistance 1
rest 1
restaurant 2
retreat 1
return 1
rides 1
ringling 2
rinpoche 35
road 2
roadblock 1
runs 1
same 1
says 4
seeing 3
seems 2
senior 1
sense 1
sentimental 1
session 1
settle 1
settles 1
share 1
she 2
sheepish 1
should 1
shoulders 1
show 1
sidewalk 1
sights 1
signs 1
sister 1
sitting 1
situation 1
smoked 1
so 3
society 1
soil 1
some 5
something 1
son 1
soul 1
sounds 1
south 1
spanakopita 1
specializes 1
spend 1
spiritual 3
starts 4
stay 3
still 1
stopping 1
stops 1
stores 1
story 2
stranger 1
struggles 1
suburb 1
such 1
suggests 1
surroundings 1
table 1
take 5
talk 7
talking 2
tantrums 1
tarot 1
tattooed 1
tea 1
tell 1
tells 1
temper 1
thai 1
than 1
that 11
the 59
their 2
theirs 1
them 1
then 1
there 2
therefore 1
they 7
thing 1
think 1
thinks 2
this 7
those 1
though 1
through 1
throughout 1
time 1
to 39
tour 1
traffic 1
tries 1
trip 1
try 1
two 4
uncomfortable 1
up 2
upon 1
urge 1
very 1
volya 1
wanting 1
wants 1
warmed 1
was 4
water 3
wearing 1
were 2
what 2
when 6
where 1
which 4
while 6
who 5
why 1
wife 1
will 1
with 9
without 1
women 1
would 1
wrigley 1
written 1
yet 1
york 2
you 1
young 1
youngstown 2
