2487822
/m/07hcp0
/m/07hcp0
Jack Snow
1949
{"/m/01hmnh": "Fantasy"}
a 15
abbadiah 1
about 1
above 1
afternoon 1
again 2
agrees 2
air 1
airmobile 2
also 1
amateur 1
amnesiac 1
an 1
and 26
approach 1
are 6
arisen 1
arrive 1
as 3
assembled 1
at 1
awakened 1
background 1
bag 1
bald 1
barrier 1
baum 1
be 3
beautiful 1
beaver 2
beavers 1
bedroom 1
been 1
before 2
belt 1
bewitched 1
black 1
book 1
break 1
broken 1
brought 1
buffalo 1
but 3
by 8
called 1
calls 1
can 2
care 1
cast 1
castle 3
changes 1
children 4
chooses 1
city 3
clown 1
companions 1
compass 4
confronted 1
conjo 16
consults 1
control 1
conversations 1
country 1
cousin 1
cowboy 1
created 1
crisis 1
customized 1
deadly 1
decides 1
deep 1
defeats 1
desert 1
determine 1
discovers 1
displayed 1
disturbance 1
does 1
down 1
duplicate 1
easy 1
effect 1
emerald 2
encounter 1
enjoy 2
enough 1
entrance 1
equips 1
escape 1
evil 1
explains 1
fairy 2
fallen 1
familiar 1
family 1
fat 1
father 1
fifth 1
find 2
first 1
foolishly 1
for 3
forbidden 1
fountain 1
four 2
free 1
from 6
function 1
gain 1
gate 1
glinda 1
go 2
good 1
grabs 1
gravity 1
guest 1
had 2
hanging 1
happy 1
has 7
have 4
he 7
heading 1
help 1
her 1
herself 1
hightown 2
him 2
himself 3
his 6
home 1
human 1
if 1
immediately 1
in 17
inadvertently 1
incompetent 1
inept 1
insists 1
into 7
introduced 1
investigate 1
invisibility 1
invite 1
is 9
island 4
it 1
its 3
jet 1
joins 1
jones 1
king 5
laboratory 1
ladies 1
lazy 1
learn 1
leave 1
living 2
locks 1
long 1
lords 1
lost 1
love 4
lured 1
magic 8
magically 1
magician 1
magics 1
magnet 6
make 1
malicious 1
man 1
manage 2
mdash 3
meanwhile 1
meet 1
members 1
memories 1
merely 2
mouth 1
much 1
nail 1
named 2
narrative 1
new 1
next 1
nicknames 1
night 1
nightmare 1
nome 1
none 1
nonestic 1
normal 1
not 2
now 2
oblige 1
ocean 1
of 14
on 3
once 1
one 1
only 2
other 1
outside 1
overtly 1
own 1
oz 12
ozma 6
pass 1
payment 1
persuades 1
picture 2
place 2
play 1
pleasant 1
prefer 1
presence 1
princess 1
problem 1
projection 1
protagonists 1
queen 1
reach 3
reeducation 1
reform 1
repair 1
repaired 2
return 1
returned 2
road 1
rob 1
romance 1
scene 2
scientist 1
screen 2
see 1
selfish 1
send 1
sends 1
sequestered 1
serials 1
servants 1
serves 1
serving 1
set 1
shaggy 9
shields 1
short 1
showing 1
since 1
sky 1
sleep 1
slept 1
slight 1
snow 1
sorcerer 1
spell 1
squirting 1
stage 1
stay 2
stranding 1
strangely 1
stumble 2
supplant 1
surprise 1
surprised 1
surreptitiously 1
swimming 1
taken 1
talisman 1
than 1
that 6
the 60
theater 1
their 7
them 9
themselves 1
there 1
they 14
third 1
this 1
though 1
through 2
to 24
tom 6
toward 1
toy 3
transported 1
transports 1
traveling 1
tunnel 1
tv 2
twiffle 8
twink 6
twins 5
two 4
twoffle 3
unavailable 1
under 1
untrustworthy 1
use 1
used 1
vain 1
valley 2
version 1
vicinity 1
visit 1
visitors 1
walk 1
walking 1
wallsized 1
wants 2
watch 1
watching 2
water 2
way 2
whenever 1
where 2
which 1
while 2
who 4
will 2
with 8
wizard 3
work 1
world 1
yet 1
york 1
zebbidiah 1
