610620
/m/02w8x4
/m/02w8x4
Jasper Fforde
2003
23rd 1
a 25
advance 1
after 1
against 1
agent 2
allows 1
also 1
although 1
american 1
an 5
and 16
annual 1
aornis 2
appeal 1
appeals 1
appears 1
apprentice 1
apprenticeship 1
arbitrators 1
argument 1
as 9
assembled 1
assigned 1
at 2
audience 1
awards 1
base 1
be 4
because 1
been 1
before 1
bellman 3
big 1
book 10
books 1
bookstores 1
bookworld 3
born 1
bought 1
break 1
breaks 1
brunnen 1
by 4
call 1
calling 1
calls 2
can 1
cardenio 1
caversham 5
central 1
chapter 1
character 4
characters 2
child 1
chronoguard 1
codenamed 1
commodity 1
completely 1
conspiring 1
constitutes 1
continues 2
control 1
convinced 1
correct 1
council 2
cover 1
covered 1
creates 1
dci 1
deim 1
delle 1
der 1
des 1
described 2
detective 2
deus 1
disassembling 1
discoverer 1
documenting 1
dodo 1
dream 1
during 1
easy 1
edition 1
elements 1
emergency 2
encounters 1
entered 1
erased 1
ex 1
existence 1
expectations 1
extra 1
fate 1
fforde 1
fictional 3
fifth 1
final 1
fix 1
flat 1
for 4
forgetting 1
fourth 1
frle 1
from 6
generics 2
genres 2
get 1
glass 1
go 1
goes 1
going 1
good 1
grand 1
granny 2
great 3
greatest 1
hades 2
handle 1
harris 2
has 3
have 1
havisham 1
heights 5
help 1
her 11
him 1
histoires 1
hopes 1
husband 1
immediate 1
impossible 1
in 16
inevitable 1
inside 2
invention 1
investigating 1
is 12
it 1
itil 1
jack 1
job 1
jurisfiction 5
kaine 4
keeps 1
landen 3
languish 1
last 1
learns 1
libraries 1
literal 1
literally 1
literature 2
lola 2
loose 1
loses 1
lost 4
machina 1
manuskripte 1
masquerading 1
mdash 4
meeting 1
memory 2
merely 1
million 1
mindworm 1
miss 1
movable 1
muchneeded 1
murder 1
must 1
nearly 1
neverpublished 1
new 1
next 4
nonultraword 1
not 1
novel 2
now 1
nursery 1
of 19
on 2
one 1
only 1
open 1
operations 1
operative 2
order 1
other 2
outlander 1
over 1
panjandrum 3
parkelaine 1
partner 1
partners 1
people 1
perdues 1
perdute 1
person 3
pet 1
pickwick 2
play 1
plot 2
plots 2
poetically 1
poorer 1
pozzo 1
pregnant 1
present 1
pretend 1
prevent 1
previous 1
produces 1
proves 1
puits 1
pulls 1
quality 1
randolph 2
rather 1
read 2
reader 1
real 3
release 1
released 1
remains 1
render 1
rendering 1
renders 1
replacing 1
residents 1
rhyme 1
rotten 1
rr 1
rule 1
ruler 1
saleable 1
sanctuary 1
secondhand 1
setting 1
seven 1
shakespeare 1
she 5
since 2
skylarks 1
slowly 1
solution 1
something 1
specops27 1
spratt 2
st 1
story 5
strike 1
students 1
substantively 1
superintendent 1
system 1
tabularasa 1
take 2
taking 1
tenure 1
text 1
than 1
that 7
the 47
them 1
themselves 1
thirtytwo 1
this 1
though 1
three 1
thriceread 1
thursday 15
thus 1
to 15
topping 1
touted 1
trame 1
travelbook 1
tweed 3
two 3
type 1
ultraword 7
unprecedented 2
unpublished 1
useless 1
using 1
vacation 1
version 1
villainess 1
vividly 1
volume 1
vote 2
waiting 1
was 2
weathering 1
well 3
were 1
which 3
while 1
who 4
will 2
with 4
wordstorm 1
world 4
writing 1
yet 1
yorrick 1
