58620
/m/0g056
/m/0g056
Iain Banks
1987
{"/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
170s 1
180s 1
3monty3s3 1
a 6
about 1
above 1
acres 1
after 2
ago 1
alive 1
all 1
along 1
an 3
and 23
ar 1
arc 1
area 1
arisaig 1
around 1
as 4
assisted 1
attempt 1
auditions 1
away 1
balfour 1
band 3
bass 1
be 2
beneath 1
beyond 1
boozefuelled 1
borne 1
break 1
brice 1
bright 1
by 2
called 1
caretaker 1
cargo 1
catholic 1
cave 1
change 1
changed 1
chimneys 2
christine 1
city 1
cliffs 1
climb 1
coast 1
college 1
columns 1
coral 1
corryvrecken 1
dan 1
dark 1
davey 1
days 1
deaf 1
decided 2
demise 1
drug 1
dying 1
ears 1
encounter 1
ends 1
events 1
eventually 1
ever 1
everything 1
explain 1
fame 1
family 1
ferguslie 1
fight 1
fingals 1
first 1
flying 1
foam 1
follows 1
folly 1
for 1
forward 1
friends 1
from 2
frozen 1
get 1
girlfriend 1
glasgow 1
glittering 1
gold 1
group 1
grown 1
guitar 1
gulls 1
hardsoft 1
has 1
have 1
hay 1
he 8
head 1
hides 1
him 1
his 6
hitch 1
i 4
identity 1
illegal 1
impressed 1
in 11
inside 1
into 1
iona 1
is 4
its 2
jean 1
jimmy 1
joins 1
just 1
jutes 1
kent 1
kill 1
kings 1
know 1
last 1
led 1
let 1
likes 1
listen 1
live 1
lives 1
living 1
look 1
man 1
material 1
mccann 1
memorable 1
might 1
milewide 1
milky 1
mind 1
moments 1
mouldering 1
my 4
myself 2
name 1
named 1
night 1
nightclub 1
north 1
now 1
ocean 1
of 9
on 1
or 2
out 1
over 1
own 1
paisley 2
park 1
pinkfingered 1
plane 1
playing 1
posing 1
power 1
private 1
rainbowbuttressed 1
rampart 1
real 1
recluse 1
record 1
records 1
remains 1
reminisces 1
revealed 1
rick 1
ringing 1
rises 1
rock 1
roll 1
sail 1
sands 1
seals 1
seas 1
sees 1
seething 1
since 1
sing 1
singer 1
sixsided 1
songs 1
south 1
spaces 1
speed 1
spun 1
st 1
staffas 1
starts 1
station 1
stay 1
swell 1
takes 1
tall 1
technology 1
that 1
the 20
their 3
them 3
there 1
this 2
thousandfoot 1
three 2
throw 1
tides 1
to 14
tommy 1
tour 1
tragic 1
try 1
trying 1
tumber 1
two 1
uncomfortable 1
underprivileged 1
union 1
unofficial 1
unsuccessfully 1
up 1
very 1
victorian 1
visits 1
voice 1
walk 1
waterlogged 1
waverace 1
way 1
wealth 1
webb 1
wee 1
weir 1
west 1
wet 1
when 1
where 2
which 1
whirlpool 1
white 1
with 6
would 1
writing 1
