2509642
/m/07jwp5
/m/07jwp5
Theodore Sturgeon
1953
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
25yearold 1
a 18
abilities 1
ability 2
about 4
abusive 1
accident 1
accidentally 1
adopted 1
adopts 1
adult 1
after 5
again 1
air 1
alicia 3
all 1
almost 1
alone 1
always 1
amnesia 2
an 7
and 24
antiaircraft 1
antigrav 2
antigravity 2
anything 1
appear 1
are 3
area 1
as 2
ask 1
asks 1
assisting 1
asylum 1
attacks 1
away 1
baby 8
back 1
barely 1
barrows 2
be 2
beanie 1
beating 1
became 1
because 1
becomes 2
been 1
befriends 1
beginning 1
being 1
birth 2
bleeding 1
bonnie 1
breakdown 1
build 1
builds 1
but 3
by 7
called 1
can 1
cannot 1
capacity 1
care 1
caused 1
certain 1
children 1
collapse 1
common 1
complete 1
completely 1
computer 1
concluding 1
confronts 1
connected 1
connection 1
conscience 1
consults 1
couple 2
day 1
dead 1
death 1
departure 1
determined 1
died 1
discovered 2
discovers 1
do 1
does 2
domestication 1
domineering 1
drive 1
driving 1
duds 1
during 1
economy 1
educated 1
effects 1
eightyearold 1
either 1
emotional 1
encounters 1
engineer 1
entire 1
erases 1
escapes 1
evelyn 4
experienced 1
fabulous 2
farm 2
farming 1
father 3
fed 1
finally 1
find 2
finds 1
fired 1
first 4
for 4
force 1
forest 1
form 1
found 1
from 3
generator 1
gerry 10
gestalt 5
getting 1
gift 1
gifted 1
giving 1
group 1
grown 1
had 3
happened 1
has 8
having 1
he 14
health 1
hearing 1
helped 1
helps 2
her 6
him 6
himself 1
hip 7
hippocrates 1
his 8
homo 1
however 1
human 1
idea 1
idiot 3
if 2
in 12
incarceration 1
incident 2
including 1
innocent 1
insane 3
installs 1
institution 1
institutions 1
instructed 1
into 1
introduced 1
investigation 1
is 11
it 4
its 1
jail 1
janie 3
joined 1
kew 1
kids 1
killed 2
kills 1
knows 2
last 1
later 1
launching 1
lead 1
leader 1
learned 2
leave 1
led 1
left 1
life 1
like 1
lives 2
living 1
lone 14
look 1
lt 1
machine 1
magnetic 1
make 2
makes 1
male 1
man 1
memories 1
memory 2
mental 2
mentally 2
met 1
mind 1
mongoloid 1
morality 1
mrs 2
mud 1
narrates 1
nearby 1
nearly 1
never 1
normalization 1
novel 3
now 1
occurs 2
odd 1
of 10
old 2
on 4
one 1
only 1
or 1
out 2
own 1
part 5
past 1
pennsylvania 1
people 1
permanently 1
person 1
phenomenal 1
physically 1
piece 1
poor 1
poses 1
possess 1
possibly 1
practice 1
pregnant 1
previous 1
prodd 5
prodds 1
psychiatrist 2
ran 1
range 1
reaction 1
real 1
referred 1
regain 1
relationship 2
remembers 1
returned 1
returns 1
runaway 1
rustedout 1
saving 1
second 2
seek 1
seven 1
several 2
she 1
shells 1
shelter 1
sheltered 1
sister 1
slowly 1
sociopathic 1
soldier 1
solution 1
some 1
soon 2
space 1
speak 1
split 1
still 1
stopping 1
street 2
strong 1
stronger 1
stuck 1
subsequently 1
taken 1
telekinetic 1
telepathic 2
teleport 1
terrible 1
tests 1
than 1
that 3
the 48
their 1
them 2
then 4
they 2
thinks 1
third 1
this 2
thompson 1
three 3
to 22
together 2
told 1
transmitted 1
triggered 1
truck 3
trying 1
twins 2
under 1
until 1
up 1
urchin 1
us 1
wants 1
war 1
was 4
we 1
weakened 1
were 2
what 3
when 3
which 2
who 6
will 1
with 5
woman 1
woods 1
words 1
worked 1
world 2
would 1
years 3
