30834790
/m/0gfgr4f
/m/0gfgr4f
Edith Pargeter
1986
10 1
1141 1
a 29
abbey 6
abbot 6
abbott 2
about 1
above 1
absolution 1
accepted 2
accuses 1
achard 1
action 2
adam 1
addition 1
adultery 1
after 7
afterward 1
again 2
agree 2
ailnoth 18
alienates 1
aline 1
alive 1
all 8
allegiance 2
almost 1
along 1
already 1
also 1
always 1
among 1
an 4
and 38
announce 3
announcement 1
another 1
anyone 1
appear 1
appeared 1
appears 1
apples 1
appointed 2
approval 1
are 2
area 1
areas 1
arrive 1
as 16
asked 1
assigned 1
assure 1
assured 1
astonished 1
at 18
attended 1
attest 1
away 6
baby 1
bachiler 1
back 4
backwards 1
baker 3
band 1
baptism 1
baptize 1
baptized 1
be 4
beat 2
because 3
been 2
before 6
begging 2
being 3
benet 9
beringar 4
bernire 1
between 2
bishop 3
bishops 1
blessed 1
blund 1
body 3
born 1
both 3
boy 4
boys 1
bread 1
bringing 2
brings 1
brother 4
brothers 1
brought 1
burden 1
burial 2
busyness 1
but 4
by 13
cadfael 23
called 3
calling 1
calls 1
came 2
can 2
canterbury 1
cap 2
carrying 1
caught 1
celebration 1
chad 1
challenged 1
change 2
charade 1
charge 1
charged 1
chat 1
checked 1
childhood 1
children 1
choose 1
christmas 8
church 3
claim 1
clear 1
cleared 1
clerics 1
clerk 2
close 1
clung 1
coincidence 1
cold 1
come 3
comes 4
communion 1
complaints 1
compline 1
confession 1
confirmed 1
confront 1
confronted 1
consider 1
considered 1
considers 1
contender 1
cooperation 1
council 2
couple 1
cousin 1
cowl 1
cross 3
crown 1
crowned 1
cure 1
cynric 9
daily 1
day 2
days 5
dazed 1
dead 2
death 4
december 3
decision 1
deputy 2
desire 1
despair 1
devious 1
did 5
died 3
different 1
dig 1
diligent 1
diota 6
directly 1
disappearance 1
disappeared 1
disappointed 1
discussion 1
disliked 1
do 1
does 4
drowned 1
earlier 1
early 2
ebony 1
eight 1
else 1
eluned 1
embarrassing 1
empress 5
en 1
encountered 1
end 3
ending 2
energy 1
enough 1
error 1
escape 3
especially 1
